"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","South Africa","ZAF","2018","13.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","South Sudan","SSD","2018","27.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Spain","ESP","2018","3.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Sri Lanka","LKA","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Sudan","SDN","2018","17.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Suriname","SUR","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Sweden","SWE","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Switzerland","CHE","2018","2.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Tajikistan","TJK","2018","14.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Tanzania","TZA","2018","24.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Thailand","THA","2018","9.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Timor-Leste","TLS","2018","28.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Togo","TGO","2018","13.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Tonga","TON","2018","17.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Trinidad and Tobago","TTO","2018","7.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Tunisia","TUN","2018","10.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Turkiye","TUR","2018","12.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Tuvalu","TUV","2018","20.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Uganda","UGA","2018","26.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Ukraine","UKR","2018","9.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","United Kingdom","GBR","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","United States","USA","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Uruguay","URY","2018","4.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Vanuatu","VUT","2018","29.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Venezuela, RB","VEN","2018","8.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Viet Nam","VNM","2018","10.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","West Bank and Gaza","PSE","2018","19.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Zambia","ZMB","2018","28.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Zimbabwe","ZWE","2018","18.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Afghanistan","AFG","2015","46.100","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Angola","AGO","2016","25.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Armenia","ARM","2016","3.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Austria","AUT","2012","4.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Azerbaijan","AZE","2006","9.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Bangladesh","BGD","2015","28.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Belgium","BEL","2012","8.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Bolivia","BOL","2016","27.100","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Bulgaria","BGR","2012","9.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Burkina Faso","BFA","2010","9.300","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Burundi","BDI","2017","27.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Cabo Verde","CPV","2005","7.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Cambodia","KHM","2014","10.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Cameroon","CMR","2014","32.700","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Central African Republic","CAF","2006","26.300","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Chad","TCD","2015","17.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Colombia","COL","2015","18.400","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Comoros","COM","2012","4.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Congo, Dem. Rep.","COD","2014","36.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Cote d'Ivoire","CIV","2012","22.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Croatia","HRV","2012","4.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Cyprus","CYP","2012","3.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Czechia","CZE","2012","6.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Denmark","DNK","2012","7.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Dominican Republic","DOM","2013","16.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Ecuador","ECU","2011","10.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Egypt, Arab Rep.","EGY","2014","14.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","El Salvador","SLV","2014","6.700","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Equatorial Guinea","GNQ","2011","43.600","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Estonia","EST","2012","4.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Ethiopia","ETH","2016","19.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Fiji","FJI","2011","29.700","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Finland","FIN","2012","8.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","France","FRA","2012","7.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Gabon","GAB","2012","31.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Gambia, The","GMB","2013","7.300","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Germany","DEU","2012","5.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Ghana","GHA","2008","19.200","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Greece","GRC","2012","8.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Guatemala","GTM","2015","8.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Haiti","HTI","2017","13.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Honduras","HND","2012","11.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Hungary","HUN","2012","8.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","India","IND","2016","22.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Ireland","IRL","2012","4.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Italy","ITA","2012","7.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Jamaica","JAM","2016","8.520","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Jordan","JOR","2012","14.100","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Kenya","KEN","2014","25.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Kiribati","KIR","2008","36.100","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Kyrgyz Republic","KGZ","2012","17.100","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Lao PDR","LAO","2014","6.400","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Latvia","LVA","2012","7.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Liberia","LBR","2007","35.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Lithuania","LTU","2012","6.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Luxembourg","LUX","2012","3.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Malawi","MWI","2016","24.300","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Maldives","MDV","2006","6.400","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Mali","MLI","2006","21.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Malta","MLT","2012","5.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Marshall Islands","MHL","2014","20.100","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Mexico","MEX","2016","9.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Micronesia, Fed. Sts.","FSM","2014","26.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Moldova","MDA","2005","14.600","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Mongolia","MNG","2017","14.700","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Mozambique","MOZ","2015","15.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Myanmar","MMR","2016","11.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Namibia","NAM","2013","20.200","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Nepal","NPL","2016","11.200","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Netherlands","NLD","2012","7.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Nicaragua","NIC","2012","7.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Nigeria","NGA","2013","11.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Palau","PLW","2013","9.600","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Panama","PAN","2009","10.100","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Paraguay","PRY","2008","8.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Peru","PER","2016","10.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Philippines","PHL","2017","5.500","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Poland","POL","2012","3.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Portugal","PRT","2012","6.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Romania","ROU","2012","7.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Rwanda","RWA","2015","20.700","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Samoa","WSM","2000","22.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Sao Tome and Principe","STP","2009","26.300","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Senegal","SEN","2017","12.200","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Sierra Leone","SLE","2013","28.700","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Slovak Republic","SVK","2012","8.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Slovenia","SVN","2012","2.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Solomon Islands","SLB","2008","41.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Spain","ESP","2012","2.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Sweden","SWE","2012","6.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Tajikistan","TJK","2017","19.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Tanzania","TZA","2016","29.600","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Timor-Leste","TLS","2016","34.600","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Togo","TGO","2014","12.700","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Tonga","TON","2009","18.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Trinidad and Tobago","TTO","2017","6.740","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Turkiye","TUR","2014","11.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Tuvalu","TUV","2007","25.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Uganda","UGA","2016","29.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Ukraine","UKR","2007","10.200","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","United Kingdom","GBR","2012","6.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Uruguay","URY","2013","2.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Vanuatu","VUT","2009","44.000","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Viet Nam","VNM","2010","10.800","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Zambia","ZMB","2014","26.700","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","SG.VAW.1549.ZS","Zimbabwe","ZWE","2015","19.900","female, National, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","East Asia & Pacific","EAS","2018","6.195","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Europe & Central Asia","ECS","2018","4.813","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","High income","HIC","2018","4.142","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Latin America & Caribbean","LCN","2018","6.955","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Low income","LIC","2018","20.062","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Lower middle income","LMC","2018","14.489","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Middle East & North Africa","MEA","2018","12.979","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","North America","NAC","2018","3.958","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","South Asia","SAS","2018","16.299","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Sub-Saharan Africa","SSF","2018","18.134","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Upper middle income","UMC","2018","6.913","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Afghanistan","AFG","2018","33.637","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Albania","ALB","2018","5.119","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Angola","AGO","2018","22.150","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Argentina","ARG","2018","3.694","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Armenia","ARM","2018","4.455","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Australia","AUS","2018","1.985","female, Modeled, 15+"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","SG.VAW.15PL.ME.ZS","Austria","AUT","2018","2.754","female, Modeled, 15+"
