"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Dataset Coverage (%)"
"facility";"N";"GSP historical data prior to 4 Feb 2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Wierzchowice";"5.5256";"38.74";"-0.62";"0";"0";"0";"88.8";"14.2636";"107.52";"158.4";"14.2536";"0.01";"0"
"facility";"C";"VGS GIM Kawerna (Kosakowo, Mogilno)";"8.7073";"90.77";"0.59";"0";"0";"56.37";"0";"9.593";"133.7";"307.56";"9.5502";"0.0428";"0"
"facility";"C";"VGS GIM Sanok (Brzeznica, Husow, Strachocina, Swarzow)";"3.9892";"32.03";"-0.56";"0";"0";"0";"70.1";"12.4532";"117.79";"129.35";"12.4532";"0";"0"
"country";"C";"Portugal";"2.739";"76.72";"0";"42.55";"6.44";"0";"0";"3.57";"0";"85.68";"0.1753";"3.3947";"100"
"company";"C";"REN Armazenagem";"2.739";"76.72";"0";"0";"0";"0";"0";"3.57";"0";"85.68";"0.1753";"3.3947";"0"
"facility";"C";"UGS Carriço";"2.739";"76.72";"0";"0";"0";"0";"0";"3.57";"0";"85.68";"0.1753";"3.3947";"0"
"country";"C";"Romania";"10.9942";"32.47";"-0.55";"109.25";"10.06";"0";"186.4";"33.8636";"240.75";"338.44";"33.8636";"0";"100"
"company";"C";"Depomures";"1.1557";"36.64";"-0.48";"0";"0";"0";"15";"3.1546";"0";"26";"3.1546";"0";"0"
"facility";"C";"UGS Târgu Mureş";"1.1557";"36.64";"-0.48";"0";"0";"0";"15";"3.1546";"0";"26";"3.1546";"0";"0"
"company";"C";"Depogaz Ploiești";"9.8385";"32.04";"-0.56";"0";"0";"0";"171.4";"30.709";"240.75";"312.44";"30.709";"0";"0"
"facility";"C";"UGS Bălăceanca ";"0.2357";"44.06";"-0.24";"0";"0";"0";"1.2";"0.535";"10.7";"12.84";"0.5388";"0";"0"
"facility";"C";"UGS Bilciuresti";"3.9583";"28.24";"-0.69";"0";"0";"0";"96.4";"14.017";"107";"149.8";"14.017";"0";"0"
"facility";"N";"UGS Cetatea de Baltă ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Ghercesti";"1.2534";"46.85";"-0.41";"0";"0";"0";"11";"2.675";"21.4";"21.4";"2.6712";"0";"0"
"facility";"C";"UGS Sărmășel ";"3.5544";"36.91";"-0.32";"0";"0";"0";"30.6";"9.63";"69.55";"80.25";"9.63";"0";"0"
"facility";"C";"UGS Urziceni";"0.8368";"21.72";"-0.83";"0";"0";"0";"32.1";"3.852";"32.1";"48.15";"3.852";"0";"0"
"country";"C";"Slovakia";"10.2549";"27.56";"-0.23";"49.45";"20.74";"28.84";"114.6";"37.2158";"541.52";"687.4";"31.9893";"5.2265";"100"
"company";"C";"Nafta";"9.6097";"31.75";"-0.3";"0";"0";"22.5";"112.3";"30.2688";"468.86";"614.74";"28.8153";"1.4535";"0"
"facility";"C";"UGS Complex Láb";"9.6097";"31.75";"-0.3";"0";"0";"22.5";"112.3";"30.2688";"468.86";"614.74";"28.8153";"1.4535";"0"
"company";"C";"Pozagas";"0.6452";"9.29";"0.06";"0";"0";"6.34";"2.3";"6.947";"72.66";"72.66";"3.174";"3.773";"0"
"facility";"C";"UGS Lab IV - Pozagas";"0.6452";"9.29";"0.06";"0";"0";"6.34";"2.3";"6.947";"72.66";"72.66";"3.174";"3.773";"0"
"country";"E";"Spain";"19.9889";"55.79";"-0.01";"326.6";"6.12";"0";"2.1";"35.8318";"143.34";"208.96";"31.1891";"4.6428";"100"
"company";"E";"Enagás GTS";"19.9889";"55.79";"-0.01";"0";"0";"0";"2.1";"35.8318";"143.34";"208.96";"31.1891";"4.6428";"0"
"facility";"E";"VGS Enagás Basic Underground Storage (Serrablo, Yela, Gaviota, Marismas)";"19.9889";"55.79";"-0.01";"0";"0";"0";"2.1";"35.8318";"143.34";"208.96";"31.1891";"4.6428";"0"
"country";"C";"Sweden";"0.0121";"14.58";"0";"11.5";"0.11";"0";"0";"0.083";"6.63";"8.77";"0.0743";"0.0045";"100"
"company";"C";"Swedegas";"0.0121";"14.58";"0";"0";"0";"0";"0";"0.083";"6.63";"8.77";"0.0743";"0.0045";"0"
"facility";"C";"UGS Skallen";"0.0121";"14.58";"0";"0";"0";"0";"0";"0.083";"6.63";"8.77";"0.0743";"0.0045";"0"
"country";"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Centrica Storage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Rough";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"EDF";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hill Top Farm (Cheshire)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holehouse Farm Storage (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Humbly Grove Energy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Humbly Grove";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Scottish Power";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hatfield Moor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"SSE Gas Storage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Aldbrough I";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hornsea (Atwick)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Storengy UK";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Stublach";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Uniper Energy Storage Ltd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holford";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Non-EU";"E";"Non-EU";"53.8594";"16.33";"-0.04";"228.85";"0";"8.8";"168.8";"329.8696";"3029.06";"1796.12";"0";"0";"93.07"
"country";"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Srbijagas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Banatski Dvor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"C";"Ukraine";"50.9394";"15.92";"-0.05";"228.85";"22.26";"0";"168.7";"320.006";"2351.13";"1255.34";"0";"0";"100"
"company";"C";"Ukrtransgaz";"50.9394";"15.92";"-0.05";"0";"0";"0";"168.7";"320.006";"2351.13";"1255.34";"0";"0";"0"
"facility";"C";"VGS Ukraine (all storage facilities)";"50.9394";"15.92";"-0.05";"0";"0";"0";"168.7";"320.006";"2351.13";"1255.34";"0";"269.0666";"0"
"country";"E";"United Kingdom (Post-Brexit)";"2.9201";"29.6";"0.09";"0";"0";"8.8";"0";"9.8636";"677.93";"540.78";"0";"0";"28.64"
"company";"N";"Centrica Storage (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Rough (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"16.5";"0";"0";"0";"0";"0"
"company";"N";"EDF (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hill Top Farm (Cheshire) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0.649";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holehouse Farm Storage (decommissioned) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Humbly Grove Energy (Post-Brexit)";"0.2714";"9.64";"0";"0";"0";"0";"0";"2.815";"89";"20";"0";"0";"0"
"facility";"C";"UGS Humbly Grove (Post-Brexit)";"0.2714";"9.64";"0";"0";"0";"0";"0";"2.815";"89";"20";"2.815";"0";"0"
"company";"N";"Scottish Power (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hatfield Moor (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0.77";"0";"0";"0";"0";"0"
"company";"N";"SSE Gas Storage (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Aldbrough I (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"3.245";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hornsea (Atwick) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"3.41";"0";"0";"0";"0";"0"
"company";"E";"Storengy UK (Post-Brexit)";"1.0669";"24.25";"0";"0";"0";"0";"0";"4.4";"300";"280";"0";"0";"0"
"facility";"E";"UGS Stublach (Post-Brexit)";"1.0669";"24.25";"0";"0";"0";"0";"0";"4.4";"300";"280";"0";"0";"0"
"company";"C";"Uniper Energy Storage Ltd (Post-Brexit)";"1.5817";"59.72";"0.33";"0";"0";"8.8";"0";"2.6486";"288.93";"240.78";"0";"0";"0"
"facility";"C";"UGS Holford (Post-Brexit)";"1.5817";"59.72";"0.33";"0";"0";"8.8";"0";"2.6486";"288.93";"240.78";"2.6486";"0";"0"
