DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TLS: Timor-Leste,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,42.6446533203125,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TGO: Togo,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,59.78117752075195,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TON: Tonga,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,23.34941291809082,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUN: Tunisia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,15.196474075317383,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUV: Tuvalu,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,27.131175994873047,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUR: Türkiye,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,16.893285751342773,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UGA: Uganda,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,22.906238555908203,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UKR: Ukraine,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,0.8324219584465027,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TZA: United Republic of Tanzania,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,29.241392135620117,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,URY: Uruguay,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,13.766558647155762,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UZB: Uzbekistan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,11.807088851928711,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VUT: Vanuatu,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,15.983909606933594,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VEN: Venezuela (Bolivarian Republic of),PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,39.95137023925781,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VNM: Viet Nam,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,8.506558418273926,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,YEM: Yemen,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,51.49694061279297,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZMB: Zambia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,58.207916259765625,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZWE: Zimbabwe,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,75.97384643554688,,PCNT: %,,,,,,,,,,,,,,_T: Total
