country,date,measure,value
England,2009-12,T01:166 (Aged 50-64 - Inactive : All People ),2944400
Wales,2009-12,T01:22 (Aged 16-64 - All : All People ),1922000
Wales,2009-12,T01:40 (Aged 16-64 - Inactive : All People ),521700
Wales,2009-12,T01:43 (Aged 16-19 - All : All People ),161300
Wales,2009-12,T01:61 (Aged 16-19 - Inactive : All People ),82200
Wales,2009-12,T01:64 (Aged 20-24 - All : All People ),202300
Wales,2009-12,T01:82 (Aged 20-24 - Inactive : All People ),54600
Wales,2009-12,T01:85 (Aged 25-34 - All : All People ),349900
Wales,2009-12,T01:103 (Aged 25-34 - Inactive : All People ),59200
Wales,2009-12,T01:106 (Aged 35-49 - All : All People ),626500
Wales,2009-12,T01:124 (Aged 35-49 - Inactive : All People ),103500
Wales,2009-12,T01:127 (Aged 50+ - All : All People ),1109100
Wales,2009-12,T01:145 (Aged 50+ - Inactive : All People ),713500
Wales,2009-12,T01:148 (Aged 50-64 - All : All People ),582000
Wales,2009-12,T01:166 (Aged 50-64 - Inactive : All People ),222200
Scotland,2009-12,T01:22 (Aged 16-64 - All : All People ),3394000
Scotland,2009-12,T01:40 (Aged 16-64 - Inactive : All People ),766800
Scotland,2009-12,T01:43 (Aged 16-19 - All : All People ),267100
Scotland,2009-12,T01:61 (Aged 16-19 - Inactive : All People ),111400
Scotland,2009-12,T01:64 (Aged 20-24 - All : All People ),345100
Scotland,2009-12,T01:82 (Aged 20-24 - Inactive : All People ),78100
Scotland,2009-12,T01:85 (Aged 25-34 - All : All People ),640300
Scotland,2009-12,T01:103 (Aged 25-34 - Inactive : All People ),91800
Scotland,2009-12,T01:106 (Aged 35-49 - All : All People ),1146400
Scotland,2009-12,T01:124 (Aged 35-49 - Inactive : All People ),161200
Scotland,2009-12,T01:127 (Aged 50+ - All : All People ),1845100
Scotland,2009-12,T01:145 (Aged 50+ - Inactive : All People ),1118100
Scotland,2009-12,T01:148 (Aged 50-64 - All : All People ),995100
Scotland,2009-12,T01:166 (Aged 50-64 - Inactive : All People ),324300
Northern Ireland,2009-12,T01:22 (Aged 16-64 - All : All People ),1152000
Northern Ireland,2009-12,T01:40 (Aged 16-64 - Inactive : All People ),347000
Northern Ireland,2009-12,T01:43 (Aged 16-19 - All : All People ),101100
Northern Ireland,2009-12,T01:61 (Aged 16-19 - Inactive : All People ),68000
Northern Ireland,2009-12,T01:64 (Aged 20-24 - All : All People ),125100
Northern Ireland,2009-12,T01:82 (Aged 20-24 - Inactive : All People ),34800
Northern Ireland,2009-12,T01:85 (Aged 25-34 - All : All People ),241100
Northern Ireland,2009-12,T01:103 (Aged 25-34 - Inactive : All People ),42400
Northern Ireland,2009-12,T01:106 (Aged 35-49 - All : All People ),386200
Northern Ireland,2009-12,T01:124 (Aged 35-49 - Inactive : All People ),69600
Northern Ireland,2009-12,T01:127 (Aged 50+ - All : All People ),540000
Northern Ireland,2009-12,T01:145 (Aged 50+ - Inactive : All People ),357500
Northern Ireland,2009-12,T01:148 (Aged 50-64 - All : All People ),298500
Northern Ireland,2009-12,T01:166 (Aged 50-64 - Inactive : All People ),132200
United Kingdom,2010-03,T01:22 (Aged 16-64 - All : All People ),40115200
United Kingdom,2010-03,T01:40 (Aged 16-64 - Inactive : All People ),9529500
United Kingdom,2010-03,T01:43 (Aged 16-19 - All : All People ),3174200
United Kingdom,2010-03,T01:61 (Aged 16-19 - Inactive : All People ),1601400
United Kingdom,2010-03,T01:64 (Aged 20-24 - All : All People ),4093300
United Kingdom,2010-03,T01:82 (Aged 20-24 - Inactive : All People ),1062500
United Kingdom,2010-03,T01:85 (Aged 25-34 - All : All People ),8156000
United Kingdom,2010-03,T01:103 (Aged 25-34 - Inactive : All People ),1296400
United Kingdom,2010-03,T01:106 (Aged 35-49 - All : All People ),13482200
United Kingdom,2010-03,T01:124 (Aged 35-49 - Inactive : All People ),1941700
United Kingdom,2010-03,T01:127 (Aged 50+ - All : All People ),20951500
United Kingdom,2010-03,T01:145 (Aged 50+ - Inactive : All People ),12602100
United Kingdom,2010-03,T01:148 (Aged 50-64 - All : All People ),11209500
United Kingdom,2010-03,T01:166 (Aged 50-64 - Inactive : All People ),3627400
England,2010-03,T01:22 (Aged 16-64 - All : All People ),33640800
England,2010-03,T01:40 (Aged 16-64 - Inactive : All People ),7880100
England,2010-03,T01:43 (Aged 16-19 - All : All People ),2644800
England,2010-03,T01:61 (Aged 16-19 - Inactive : All People ),1332100
England,2010-03,T01:64 (Aged 20-24 - All : All People ),3419100
England,2010-03,T01:82 (Aged 20-24 - Inactive : All People ),890400
England,2010-03,T01:85 (Aged 25-34 - All : All People ),6921200
England,2010-03,T01:103 (Aged 25-34 - Inactive : All People ),1099400
England,2010-03,T01:106 (Aged 35-49 - All : All People ),11328100
England,2010-03,T01:124 (Aged 35-49 - Inactive : All People ),1603600
England,2010-03,T01:127 (Aged 50+ - All : All People ),17443600
England,2010-03,T01:145 (Aged 50+ - Inactive : All People ),10411900
England,2010-03,T01:148 (Aged 50-64 - All : All People ),9327500
England,2010-03,T01:166 (Aged 50-64 - Inactive : All People ),2954500
Wales,2010-03,T01:22 (Aged 16-64 - All : All People ),1922500
Wales,2010-03,T01:40 (Aged 16-64 - Inactive : All People ),522400
Wales,2010-03,T01:43 (Aged 16-19 - All : All People ),161200
Wales,2010-03,T01:61 (Aged 16-19 - Inactive : All People ),83000
Wales,2010-03,T01:64 (Aged 20-24 - All : All People ),203000
Wales,2010-03,T01:82 (Aged 20-24 - Inactive : All People ),55400
Wales,2010-03,T01:85 (Aged 25-34 - All : All People ),350800
Wales,2010-03,T01:103 (Aged 25-34 - Inactive : All People ),59600
Wales,2010-03,T01:106 (Aged 35-49 - All : All People ),624800
Wales,2010-03,T01:124 (Aged 35-49 - Inactive : All People ),103000
Wales,2010-03,T01:127 (Aged 50+ - All : All People ),1112600
Wales,2010-03,T01:145 (Aged 50+ - Inactive : All People ),714700
Wales,2010-03,T01:148 (Aged 50-64 - All : All People ),582700
Wales,2010-03,T01:166 (Aged 50-64 - Inactive : All People ),221400
Scotland,2010-03,T01:22 (Aged 16-64 - All : All People ),3398700
Scotland,2010-03,T01:40 (Aged 16-64 - Inactive : All People ),782400
Scotland,2010-03,T01:43 (Aged 16-19 - All : All People ),267300
Scotland,2010-03,T01:61 (Aged 16-19 - Inactive : All People ),117500
Scotland,2010-03,T01:64 (Aged 20-24 - All : All People ),346400
Scotland,2010-03,T01:82 (Aged 20-24 - Inactive : All People ),82500
Scotland,2010-03,T01:85 (Aged 25-34 - All : All People ),642300
Scotland,2010-03,T01:103 (Aged 25-34 - Inactive : All People ),95000
Scotland,2010-03,T01:106 (Aged 35-49 - All : All People ),1143300
Scotland,2010-03,T01:124 (Aged 35-49 - Inactive : All People ),164700
Scotland,2010-03,T01:127 (Aged 50+ - All : All People ),1852400
Scotland,2010-03,T01:145 (Aged 50+ - Inactive : All People ),1119700
Scotland,2010-03,T01:148 (Aged 50-64 - All : All People ),999300
Scotland,2010-03,T01:166 (Aged 50-64 - Inactive : All People ),322700
Northern Ireland,2010-03,T01:22 (Aged 16-64 - All : All People ),1153200
Northern Ireland,2010-03,T01:40 (Aged 16-64 - Inactive : All People ),344600
Northern Ireland,2010-03,T01:43 (Aged 16-19 - All : All People ),100900
Northern Ireland,2010-03,T01:61 (Aged 16-19 - Inactive : All People ),68800
Northern Ireland,2010-03,T01:64 (Aged 20-24 - All : All People ),124900
Northern Ireland,2010-03,T01:82 (Aged 20-24 - Inactive : All People ),34100
Northern Ireland,2010-03,T01:85 (Aged 25-34 - All : All People ),241600
Northern Ireland,2010-03,T01:103 (Aged 25-34 - Inactive : All People ),42400
Northern Ireland,2010-03,T01:106 (Aged 35-49 - All : All People ),386000
Northern Ireland,2010-03,T01:124 (Aged 35-49 - Inactive : All People ),70400
Northern Ireland,2010-03,T01:127 (Aged 50+ - All : All People ),543000
Northern Ireland,2010-03,T01:145 (Aged 50+ - Inactive : All People ),355800
Northern Ireland,2010-03,T01:148 (Aged 50-64 - All : All People ),299900
Northern Ireland,2010-03,T01:166 (Aged 50-64 - Inactive : All People ),128900
United Kingdom,2010-06,T01:22 (Aged 16-64 - All : All People ),40177200
United Kingdom,2010-06,T01:40 (Aged 16-64 - Inactive : All People ),9583300
United Kingdom,2010-06,T01:43 (Aged 16-19 - All : All People ),3174500
United Kingdom,2010-06,T01:61 (Aged 16-19 - Inactive : All People ),1616800
United Kingdom,2010-06,T01:64 (Aged 20-24 - All : All People ),4107500
United Kingdom,2010-06,T01:82 (Aged 20-24 - Inactive : All People ),1073300
United Kingdom,2010-06,T01:85 (Aged 25-34 - All : All People ),8184200
United Kingdom,2010-06,T01:103 (Aged 25-34 - Inactive : All People ),1302800
United Kingdom,2010-06,T01:106 (Aged 35-49 - All : All People ),13468900
United Kingdom,2010-06,T01:124 (Aged 35-49 - Inactive : All People ),1957500
United Kingdom,2010-06,T01:127 (Aged 50+ - All : All People ),21033800
United Kingdom,2010-06,T01:145 (Aged 50+ - Inactive : All People ),12636600
United Kingdom,2010-06,T01:148 (Aged 50-64 - All : All People ),11242200
United Kingdom,2010-06,T01:166 (Aged 50-64 - Inactive : All People ),3632800
England,2010-06,T01:22 (Aged 16-64 - All : All People ),33696200
England,2010-06,T01:40 (Aged 16-64 - Inactive : All People ),7933600
England,2010-06,T01:43 (Aged 16-19 - All : All People ),2644900
England,2010-06,T01:61 (Aged 16-19 - Inactive : All People ),1347800
England,2010-06,T01:64 (Aged 20-24 - All : All People ),3431500
England,2010-06,T01:82 (Aged 20-24 - Inactive : All People ),905400
England,2010-06,T01:85 (Aged 25-34 - All : All People ),6945700
England,2010-06,T01:103 (Aged 25-34 - Inactive : All People ),1105900
England,2010-06,T01:106 (Aged 35-49 - All : All People ),11320000
England,2010-06,T01:124 (Aged 35-49 - Inactive : All People ),1622400
England,2010-06,T01:127 (Aged 50+ - All : All People ),17511700
England,2010-06,T01:145 (Aged 50+ - Inactive : All People ),10432300
England,2010-06,T01:148 (Aged 50-64 - All : All People ),9353900
England,2010-06,T01:166 (Aged 50-64 - Inactive : All People ),2952100
Wales,2010-06,T01:22 (Aged 16-64 - All : All People ),1923400
Wales,2010-06,T01:40 (Aged 16-64 - Inactive : All People ),520900
Wales,2010-06,T01:43 (Aged 16-19 - All : All People ),161300
Wales,2010-06,T01:61 (Aged 16-19 - Inactive : All People ),82300
Wales,2010-06,T01:64 (Aged 20-24 - All : All People ),203600
Wales,2010-06,T01:82 (Aged 20-24 - Inactive : All People ),54000
Wales,2010-06,T01:85 (Aged 25-34 - All : All People ),351600
Wales,2010-06,T01:103 (Aged 25-34 - Inactive : All People ),61700
Wales,2010-06,T01:106 (Aged 35-49 - All : All People ),623000
Wales,2010-06,T01:124 (Aged 35-49 - Inactive : All People ),100800
Wales,2010-06,T01:127 (Aged 50+ - All : All People ),1116000
Wales,2010-06,T01:145 (Aged 50+ - Inactive : All People ),715900
Wales,2010-06,T01:148 (Aged 50-64 - All : All People ),583900
Wales,2010-06,T01:166 (Aged 50-64 - Inactive : All People ),222200
Scotland,2010-06,T01:22 (Aged 16-64 - All : All People ),3403200
Scotland,2010-06,T01:40 (Aged 16-64 - Inactive : All People ),786900
Scotland,2010-06,T01:43 (Aged 16-19 - All : All People ),267600
Scotland,2010-06,T01:61 (Aged 16-19 - Inactive : All People ),117500
Scotland,2010-06,T01:64 (Aged 20-24 - All : All People ),347600
Scotland,2010-06,T01:82 (Aged 20-24 - Inactive : All People ),82000
Scotland,2010-06,T01:85 (Aged 25-34 - All : All People ),644800
Scotland,2010-06,T01:103 (Aged 25-34 - Inactive : All People ),94600
Scotland,2010-06,T01:106 (Aged 35-49 - All : All People ),1140000
Scotland,2010-06,T01:124 (Aged 35-49 - Inactive : All People ),164800
Scotland,2010-06,T01:127 (Aged 50+ - All : All People ),1860100
Scotland,2010-06,T01:145 (Aged 50+ - Inactive : All People ),1129800
Scotland,2010-06,T01:148 (Aged 50-64 - All : All People ),1003200
Scotland,2010-06,T01:166 (Aged 50-64 - Inactive : All People ),328000
Northern Ireland,2010-06,T01:22 (Aged 16-64 - All : All People ),1154500
Northern Ireland,2010-06,T01:40 (Aged 16-64 - Inactive : All People ),341900
Northern Ireland,2010-06,T01:43 (Aged 16-19 - All : All People ),100600
Northern Ireland,2010-06,T01:61 (Aged 16-19 - Inactive : All People ),69200
Northern Ireland,2010-06,T01:64 (Aged 20-24 - All : All People ),124700
Northern Ireland,2010-06,T01:82 (Aged 20-24 - Inactive : All People ),31900
Northern Ireland,2010-06,T01:85 (Aged 25-34 - All : All People ),242100
Northern Ireland,2010-06,T01:103 (Aged 25-34 - Inactive : All People ),40700
Northern Ireland,2010-06,T01:106 (Aged 35-49 - All : All People ),385800
Northern Ireland,2010-06,T01:124 (Aged 35-49 - Inactive : All People ),69500
Northern Ireland,2010-06,T01:127 (Aged 50+ - All : All People ),545900
Northern Ireland,2010-06,T01:145 (Aged 50+ - Inactive : All People ),358600
Northern Ireland,2010-06,T01:148 (Aged 50-64 - All : All People ),301200
Northern Ireland,2010-06,T01:166 (Aged 50-64 - Inactive : All People ),130500
United Kingdom,2010-09,T01:22 (Aged 16-64 - All : All People ),40240000
United Kingdom,2010-09,T01:40 (Aged 16-64 - Inactive : All People ),9621200
United Kingdom,2010-09,T01:43 (Aged 16-19 - All : All People ),3174900
United Kingdom,2010-09,T01:61 (Aged 16-19 - Inactive : All People ),1641200
United Kingdom,2010-09,T01:64 (Aged 20-24 - All : All People ),4121900
United Kingdom,2010-09,T01:82 (Aged 20-24 - Inactive : All People ),1099700
United Kingdom,2010-09,T01:85 (Aged 25-34 - All : All People ),8212300
United Kingdom,2010-09,T01:103 (Aged 25-34 - Inactive : All People ),1298400
United Kingdom,2010-09,T01:106 (Aged 35-49 - All : All People ),13456400
United Kingdom,2010-09,T01:124 (Aged 35-49 - Inactive : All People ),1958800
United Kingdom,2010-09,T01:127 (Aged 50+ - All : All People ),21114500
United Kingdom,2010-09,T01:145 (Aged 50+ - Inactive : All People ),12655300
United Kingdom,2010-09,T01:148 (Aged 50-64 - All : All People ),11274600
United Kingdom,2010-09,T01:166 (Aged 50-64 - Inactive : All People ),3623100
England,2010-09,T01:22 (Aged 16-64 - All : All People ),33753000
England,2010-09,T01:40 (Aged 16-64 - Inactive : All People ),7969600
England,2010-09,T01:43 (Aged 16-19 - All : All People ),2645400
England,2010-09,T01:61 (Aged 16-19 - Inactive : All People ),1367100
England,2010-09,T01:64 (Aged 20-24 - All : All People ),3444300
England,2010-09,T01:82 (Aged 20-24 - Inactive : All People ),928500
England,2010-09,T01:85 (Aged 25-34 - All : All People ),6970700
England,2010-09,T01:103 (Aged 25-34 - Inactive : All People ),1106500
England,2010-09,T01:106 (Aged 35-49 - All : All People ),11311900
England,2010-09,T01:124 (Aged 35-49 - Inactive : All People ),1628700
England,2010-09,T01:127 (Aged 50+ - All : All People ),17579900
England,2010-09,T01:145 (Aged 50+ - Inactive : All People ),10442800
England,2010-09,T01:148 (Aged 50-64 - All : All People ),9380800
England,2010-09,T01:166 (Aged 50-64 - Inactive : All People ),2938800
Wales,2010-09,T01:22 (Aged 16-64 - All : All People ),1924100
Wales,2010-09,T01:40 (Aged 16-64 - Inactive : All People ),521600
Wales,2010-09,T01:43 (Aged 16-19 - All : All People ),161300
Wales,2010-09,T01:61 (Aged 16-19 - Inactive : All People ),85100
Wales,2010-09,T01:64 (Aged 20-24 - All : All People ),204300
Wales,2010-09,T01:82 (Aged 20-24 - Inactive : All People ),55900
Wales,2010-09,T01:85 (Aged 25-34 - All : All People ),352500
Wales,2010-09,T01:103 (Aged 25-34 - Inactive : All People ),60300
Wales,2010-09,T01:106 (Aged 35-49 - All : All People ),621500
Wales,2010-09,T01:124 (Aged 35-49 - Inactive : All People ),99100
Wales,2010-09,T01:127 (Aged 50+ - All : All People ),1118700
Wales,2010-09,T01:145 (Aged 50+ - Inactive : All People ),716300
Wales,2010-09,T01:148 (Aged 50-64 - All : All People ),584500
Wales,2010-09,T01:166 (Aged 50-64 - Inactive : All People ),221100
Scotland,2010-09,T01:22 (Aged 16-64 - All : All People ),3407000
Scotland,2010-09,T01:40 (Aged 16-64 - Inactive : All People ),786900
Scotland,2010-09,T01:43 (Aged 16-19 - All : All People ),267700
Scotland,2010-09,T01:61 (Aged 16-19 - Inactive : All People ),117400
Scotland,2010-09,T01:64 (Aged 20-24 - All : All People ),348800
Scotland,2010-09,T01:82 (Aged 20-24 - Inactive : All People ),81000
Scotland,2010-09,T01:85 (Aged 25-34 - All : All People ),646500
Scotland,2010-09,T01:103 (Aged 25-34 - Inactive : All People ),94600
Scotland,2010-09,T01:106 (Aged 35-49 - All : All People ),1137100
Scotland,2010-09,T01:124 (Aged 35-49 - Inactive : All People ),161600
Scotland,2010-09,T01:127 (Aged 50+ - All : All People ),1867100
Scotland,2010-09,T01:145 (Aged 50+ - Inactive : All People ),1136400
Scotland,2010-09,T01:148 (Aged 50-64 - All : All People ),1006800
Scotland,2010-09,T01:166 (Aged 50-64 - Inactive : All People ),332400
Northern Ireland,2010-09,T01:22 (Aged 16-64 - All : All People ),1156000
Northern Ireland,2010-09,T01:40 (Aged 16-64 - Inactive : All People ),343000
Northern Ireland,2010-09,T01:43 (Aged 16-19 - All : All People ),100400
Northern Ireland,2010-09,T01:61 (Aged 16-19 - Inactive : All People ),71700
Northern Ireland,2010-09,T01:64 (Aged 20-24 - All : All People ),124500
Northern Ireland,2010-09,T01:82 (Aged 20-24 - Inactive : All People ),34300
Northern Ireland,2010-09,T01:85 (Aged 25-34 - All : All People ),242600
Northern Ireland,2010-09,T01:103 (Aged 25-34 - Inactive : All People ),37000
Northern Ireland,2010-09,T01:106 (Aged 35-49 - All : All People ),385900
Northern Ireland,2010-09,T01:124 (Aged 35-49 - Inactive : All People ),69400
Northern Ireland,2010-09,T01:127 (Aged 50+ - All : All People ),548800
Northern Ireland,2010-09,T01:145 (Aged 50+ - Inactive : All People ),359800
Northern Ireland,2010-09,T01:148 (Aged 50-64 - All : All People ),302500
Northern Ireland,2010-09,T01:166 (Aged 50-64 - Inactive : All People ),130700
United Kingdom,2010-12,T01:22 (Aged 16-64 - All : All People ),40302400
United Kingdom,2010-12,T01:40 (Aged 16-64 - Inactive : All People ),9675800
United Kingdom,2010-12,T01:43 (Aged 16-19 - All : All People ),3175200
United Kingdom,2010-12,T01:61 (Aged 16-19 - Inactive : All People ),1653100
United Kingdom,2010-12,T01:64 (Aged 20-24 - All : All People ),4136100
United Kingdom,2010-12,T01:82 (Aged 20-24 - Inactive : All People ),1115300
United Kingdom,2010-12,T01:85 (Aged 25-34 - All : All People ),8240900
United Kingdom,2010-12,T01:103 (Aged 25-34 - Inactive : All People ),1308700
United Kingdom,2010-12,T01:106 (Aged 35-49 - All : All People ),13443300
United Kingdom,2010-12,T01:124 (Aged 35-49 - Inactive : All People ),1957000
United Kingdom,2010-12,T01:127 (Aged 50+ - All : All People ),21197200
United Kingdom,2010-12,T01:145 (Aged 50+ - Inactive : All People ),12710900
United Kingdom,2010-12,T01:148 (Aged 50-64 - All : All People ),11307000
United Kingdom,2010-12,T01:166 (Aged 50-64 - Inactive : All People ),3641700
England,2010-12,T01:22 (Aged 16-64 - All : All People ),33808900
England,2010-12,T01:40 (Aged 16-64 - Inactive : All People ),8028900
England,2010-12,T01:43 (Aged 16-19 - All : All People ),2645800
England,2010-12,T01:61 (Aged 16-19 - Inactive : All People ),1378400
England,2010-12,T01:64 (Aged 20-24 - All : All People ),3456800
England,2010-12,T01:82 (Aged 20-24 - Inactive : All People ),944700
England,2010-12,T01:85 (Aged 25-34 - All : All People ),6995600
England,2010-12,T01:103 (Aged 25-34 - Inactive : All People ),1117100
England,2010-12,T01:106 (Aged 35-49 - All : All People ),11304000
England,2010-12,T01:124 (Aged 35-49 - Inactive : All People ),1629000
England,2010-12,T01:127 (Aged 50+ - All : All People ),17647700
England,2010-12,T01:145 (Aged 50+ - Inactive : All People ),10493000
England,2010-12,T01:148 (Aged 50-64 - All : All People ),9406700
England,2010-12,T01:166 (Aged 50-64 - Inactive : All People ),2959600
Wales,2010-12,T01:22 (Aged 16-64 - All : All People ),1924800
Wales,2010-12,T01:40 (Aged 16-64 - Inactive : All People ),525600
Wales,2010-12,T01:43 (Aged 16-19 - All : All People ),161200
Wales,2010-12,T01:61 (Aged 16-19 - Inactive : All People ),88000
Wales,2010-12,T01:64 (Aged 20-24 - All : All People ),204900
Wales,2010-12,T01:82 (Aged 20-24 - Inactive : All People ),57200
Wales,2010-12,T01:85 (Aged 25-34 - All : All People ),353400
Wales,2010-12,T01:103 (Aged 25-34 - Inactive : All People ),60800
Wales,2010-12,T01:106 (Aged 35-49 - All : All People ),619700
Wales,2010-12,T01:124 (Aged 35-49 - Inactive : All People ),97700
Wales,2010-12,T01:127 (Aged 50+ - All : All People ),1122700
Wales,2010-12,T01:145 (Aged 50+ - Inactive : All People ),719400
Wales,2010-12,T01:148 (Aged 50-64 - All : All People ),585600
Wales,2010-12,T01:166 (Aged 50-64 - Inactive : All People ),221900
Scotland,2010-12,T01:22 (Aged 16-64 - All : All People ),3411800
Scotland,2010-12,T01:40 (Aged 16-64 - Inactive : All People ),784600
Scotland,2010-12,T01:43 (Aged 16-19 - All : All People ),268000
Scotland,2010-12,T01:61 (Aged 16-19 - Inactive : All People ),117400
Scotland,2010-12,T01:64 (Aged 20-24 - All : All People ),350100
Scotland,2010-12,T01:82 (Aged 20-24 - Inactive : All People ),80000
Scotland,2010-12,T01:85 (Aged 25-34 - All : All People ),648700
Scotland,2010-12,T01:103 (Aged 25-34 - Inactive : All People ),93700
Scotland,2010-12,T01:106 (Aged 35-49 - All : All People ),1134100
Scotland,2010-12,T01:124 (Aged 35-49 - Inactive : All People ),158600
Scotland,2010-12,T01:127 (Aged 50+ - All : All People ),1875000
Scotland,2010-12,T01:145 (Aged 50+ - Inactive : All People ),1141200
Scotland,2010-12,T01:148 (Aged 50-64 - All : All People ),1010900
Scotland,2010-12,T01:166 (Aged 50-64 - Inactive : All People ),335000
Northern Ireland,2010-12,T01:22 (Aged 16-64 - All : All People ),1157000
Northern Ireland,2010-12,T01:40 (Aged 16-64 - Inactive : All People ),336800
Northern Ireland,2010-12,T01:43 (Aged 16-19 - All : All People ),100200
Northern Ireland,2010-12,T01:61 (Aged 16-19 - Inactive : All People ),69400
Northern Ireland,2010-12,T01:64 (Aged 20-24 - All : All People ),124400
Northern Ireland,2010-12,T01:82 (Aged 20-24 - Inactive : All People ),33400
Northern Ireland,2010-12,T01:85 (Aged 25-34 - All : All People ),243200
Northern Ireland,2010-12,T01:103 (Aged 25-34 - Inactive : All People ),37100
Northern Ireland,2010-12,T01:106 (Aged 35-49 - All : All People ),385400
Northern Ireland,2010-12,T01:124 (Aged 35-49 - Inactive : All People ),71700
Northern Ireland,2010-12,T01:127 (Aged 50+ - All : All People ),551700
Northern Ireland,2010-12,T01:145 (Aged 50+ - Inactive : All People ),357400
Northern Ireland,2010-12,T01:148 (Aged 50-64 - All : All People ),303900
Northern Ireland,2010-12,T01:166 (Aged 50-64 - Inactive : All People ),125200
United Kingdom,2011-03,T01:22 (Aged 16-64 - All : All People ),40366300
United Kingdom,2011-03,T01:40 (Aged 16-64 - Inactive : All People ),9703200
United Kingdom,2011-03,T01:43 (Aged 16-19 - All : All People ),3166300
United Kingdom,2011-03,T01:61 (Aged 16-19 - Inactive : All People ),1650300
United Kingdom,2011-03,T01:64 (Aged 20-24 - All : All People ),4160300
United Kingdom,2011-03,T01:82 (Aged 20-24 - Inactive : All People ),1113900
United Kingdom,2011-03,T01:85 (Aged 25-34 - All : All People ),8275300
United Kingdom,2011-03,T01:103 (Aged 25-34 - Inactive : All People ),1316400
United Kingdom,2011-03,T01:106 (Aged 35-49 - All : All People ),13418500
United Kingdom,2011-03,T01:124 (Aged 35-49 - Inactive : All People ),1957800
United Kingdom,2011-03,T01:127 (Aged 50+ - All : All People ),21285500
United Kingdom,2011-03,T01:145 (Aged 50+ - Inactive : All People ),12763200
United Kingdom,2011-03,T01:148 (Aged 50-64 - All : All People ),11345900
United Kingdom,2011-03,T01:166 (Aged 50-64 - Inactive : All People ),3664800
England,2011-03,T01:22 (Aged 16-64 - All : All People ),33865000
England,2011-03,T01:40 (Aged 16-64 - Inactive : All People ),8060200
England,2011-03,T01:43 (Aged 16-19 - All : All People ),2639000
England,2011-03,T01:61 (Aged 16-19 - Inactive : All People ),1381700
England,2011-03,T01:64 (Aged 20-24 - All : All People ),3477000
England,2011-03,T01:82 (Aged 20-24 - Inactive : All People ),943900
England,2011-03,T01:85 (Aged 25-34 - All : All People ),7025800
England,2011-03,T01:103 (Aged 25-34 - Inactive : All People ),1126300
England,2011-03,T01:106 (Aged 35-49 - All : All People ),11284500
England,2011-03,T01:124 (Aged 35-49 - Inactive : All People ),1630200
England,2011-03,T01:127 (Aged 50+ - All : All People ),17721500
England,2011-03,T01:145 (Aged 50+ - Inactive : All People ),10533800
England,2011-03,T01:148 (Aged 50-64 - All : All People ),9438700
England,2011-03,T01:166 (Aged 50-64 - Inactive : All People ),2978100
Wales,2011-03,T01:22 (Aged 16-64 - All : All People ),1925800
Wales,2011-03,T01:40 (Aged 16-64 - Inactive : All People ),525700
Wales,2011-03,T01:43 (Aged 16-19 - All : All People ),160400
Wales,2011-03,T01:61 (Aged 16-19 - Inactive : All People ),86800
Wales,2011-03,T01:64 (Aged 20-24 - All : All People ),206200
Wales,2011-03,T01:82 (Aged 20-24 - Inactive : All People ),59700
Wales,2011-03,T01:85 (Aged 25-34 - All : All People ),354500
Wales,2011-03,T01:103 (Aged 25-34 - Inactive : All People ),61000
Wales,2011-03,T01:106 (Aged 35-49 - All : All People ),618000
Wales,2011-03,T01:124 (Aged 35-49 - Inactive : All People ),98800
Wales,2011-03,T01:127 (Aged 50+ - All : All People ),1125700
Wales,2011-03,T01:145 (Aged 50+ - Inactive : All People ),718400
Wales,2011-03,T01:148 (Aged 50-64 - All : All People ),586700
Wales,2011-03,T01:166 (Aged 50-64 - Inactive : All People ),219500
Scotland,2011-03,T01:22 (Aged 16-64 - All : All People ),3417800
Scotland,2011-03,T01:40 (Aged 16-64 - Inactive : All People ),783900
Scotland,2011-03,T01:43 (Aged 16-19 - All : All People ),266900
Scotland,2011-03,T01:61 (Aged 16-19 - Inactive : All People ),111400
Scotland,2011-03,T01:64 (Aged 20-24 - All : All People ),353100
Scotland,2011-03,T01:82 (Aged 20-24 - Inactive : All People ),77100
Scotland,2011-03,T01:85 (Aged 25-34 - All : All People ),651500
Scotland,2011-03,T01:103 (Aged 25-34 - Inactive : All People ),93400
Scotland,2011-03,T01:106 (Aged 35-49 - All : All People ),1131100
Scotland,2011-03,T01:124 (Aged 35-49 - Inactive : All People ),158500
Scotland,2011-03,T01:127 (Aged 50+ - All : All People ),1883500
Scotland,2011-03,T01:145 (Aged 50+ - Inactive : All People ),1153100
Scotland,2011-03,T01:148 (Aged 50-64 - All : All People ),1015200
Scotland,2011-03,T01:166 (Aged 50-64 - Inactive : All People ),343500
Northern Ireland,2011-03,T01:22 (Aged 16-64 - All : All People ),1157700
Northern Ireland,2011-03,T01:40 (Aged 16-64 - Inactive : All People ),333500
Northern Ireland,2011-03,T01:43 (Aged 16-19 - All : All People ),100000
Northern Ireland,2011-03,T01:61 (Aged 16-19 - Inactive : All People ),70400
Northern Ireland,2011-03,T01:64 (Aged 20-24 - All : All People ),124100
Northern Ireland,2011-03,T01:82 (Aged 20-24 - Inactive : All People ),33300
Northern Ireland,2011-03,T01:85 (Aged 25-34 - All : All People ),243500
Northern Ireland,2011-03,T01:103 (Aged 25-34 - Inactive : All People ),35700
Northern Ireland,2011-03,T01:106 (Aged 35-49 - All : All People ),384800
