name,latitude,longitude,capacity_mw,primary_fuel,fuel_category
Gallowhill,59.2766,-2.9822,1.8,Wind,Wind
Creathorne Farm  - Solar Farm,50.7956,-4.5451,1.8,Solar,Solar
Blakenhall Park Solar Farm,52.7604,-1.7443,1.8,Solar,Solar
The Stables,52.5766,-1.4068,1.8,Solar,Solar
Queen's Park Road Energy,53.797,-2.2278,1.8,Waste,Biomass
Elstow Landfill Site,52.1033,-0.4713,1.8,Waste,Biomass
Ramsey,52.4469,-0.1063,1.8,Wind,Wind
Barr Farm Limited,52.6691,-2.1267,1.88,Solar,Solar
Binn Landfill,56.3103,-3.3335,1.9,Waste,Biomass
Brenkley Landfill,55.069,-1.6743,1.9,Waste,Biomass
Greengairs Landfill Scheme Phase II,55.905,-3.945,1.9,Waste,Biomass
Shelford Landfill Scheme,51.2981,1.0999,1.9,Waste,Biomass
Greengairs Landfill Scheme Phase I,55.8152,-3.9405,1.9,Waste,Biomass
Warren Quarry Landfill Gas Scheme,52.5978,-1.2086,1.9,Waste,Biomass
Ederline Hydro,56.1778,-5.3402,1.9,Hydro,Hydro
Briar Solar Farm,52.6452,1.2582,1.9,Solar,Solar
Thornton Waste Recovery Park (Waste AD),53.8948,-3.0151,1.9,Biomass,Biomass
River Coiltie Hydro Scheme,57.3167,-4.5048,1.9,Hydro,Hydro
Derrydarroch,56.8322,-5.0801,1.9,Hydro,Hydro
Luson Farm,50.3617,-3.9413,1.9,Solar,Solar
Queens Park Energy,53.7994,-2.2196,1.9,Waste,Biomass
Rowley,53.7955,-2.2215,1.9,Waste,Biomass
High Heavens Landfill,51.6009,-0.7987,1.9,Waste,Biomass
Bruar Hydro Scheme,56.8315,-3.9299,1.9,Hydro,Hydro
Dimmer Landfill Site,51.0752,-2.5538,1.9,Waste,Biomass
Farington Waste Recovery Park (Waste AD),53.703,-2.7373,1.9,Biomass,Biomass
Northampton General Hospital,52.2365,-0.8819,1.9,Biomass,Biomass
Dogsthorpe South Landfill Site,52.6015,-0.2222,1.9,Waste,Biomass
Colnbrook Landfill,51.489,-0.528,1.9,Waste,Biomass
Turret water treatment works,56.373,-3.8393,1.9,Hydro,Hydro
Testwood Water Supply Works,50.9325,-1.4979,1.9,Solar,Solar
Shearman Field,54.6099,-3.508,1.9,Waste,Biomass
Stables,50.6971,-1.422,1.97,Solar,Solar
Loch Eilde Mor Hydro (Kinlochleven extension),56.7298,-4.9172,2.0,Hydro,Hydro
Willand AD,50.8923,-3.3801,2.0,Biomass,Biomass
Inver Hydro,55.8681,-6.0909,2.0,Hydro,Hydro
Abhainn Gleann Nam Fiadh,56.7839,-4.7711,2.0,Hydro,Hydro
Drumjohn,54.941,-3.9278,2.0,Hydro,Hydro
Lochay Compensation Set,54.9667,-3.4667,2.0,Hydro,Hydro
Hill of Easterton Extension,57.3761,-2.3933,2.0,Wind,Wind
Hollamoor Farm (PV),51.0506,-4.0744,2.0,Solar,Solar
Clearwell Farm - solar,51.5617,-3.0894,2.0,Solar,Solar
Wooton,52.1925,-0.8881,2.0,Waste,Biomass
Lochhead,56.0985,-3.4724,2.0,Waste,Biomass
Colwick Industrial Estate (Farm and Food waste),52.9523,-1.0578,2.0,Biomass,Biomass
Weston Landfill Site,52.2244,-1.0194,2.0,Waste,Biomass
Keltneyburn Hydro,56.6139,-4.0027,2.0,Hydro,Hydro
Celcon Blocks Ltd,53.677,-1.0841,2.0,Wind,Wind
Long Hill Road,52.5731,0.0893,2.0,Wind,Wind
Chonais Hydro,57.4917,-5.2603,2.0,Hydro,Hydro
Lincoln Landfill Scheme,53.1974,-0.6093,2.0,Waste,Biomass
Worksopp,53.2998,-1.0757,2.0,Wind,Wind
EPSRC Willenhall,52.585,-2.0576,2.0,Storage,Storage
Westwood AD Plant (Farm AD),52.2622,-0.5634,2.0,Biomass,Biomass
Lancaster University (wind),54.0072,-2.7795,2.0,Wind,Wind
Chaorach Hydro,56.3944,-4.4925,2.0,Hydro,Hydro
Compton Bassett Landfill,51.438,-1.9726,2.0,Waste,Biomass
Wolseley National Distribution Centre,52.2736,-1.5357,2.0,Solar,Solar
Immingham,53.6133,-0.186,2.0,Waste,Biomass
Dunsfold,51.1193,-0.5448,2.0,Solar,Solar
Horton Landfill Site,50.8985,-0.2878,2.0,Waste,Biomass
Lochhead Landfill Scheme,56.647,-2.8408,2.0,Waste,Biomass
Inchdairnie,56.1782,-3.2115,2.0,Biomass,Biomass
Drummond Moor Landfill,55.8822,-3.0774,2.0,Waste,Biomass
Flint Landfill Site Castle Park,53.256,-3.1392,2.0,Solar,Solar
Crockbrack,54.6145,-6.9552,2.0,Wind,Wind
Glapwell Power,53.1963,-1.3099,2.0,Waste,Biomass
Salford Refuse Treatment Plant (AD),53.4953,-2.2873,2.0,Biomass,Biomass
Birkhall Estate,57.0045,-3.0814,2.0,Hydro,Hydro
Goathill Quarry Turbine,56.0864,-3.3203,2.0,Wind,Wind
Goldenhaye Field Solar Farm,50.8739,-2.9058,2.0,Solar,Solar
River Pattack (resubmission),56.9166,-4.3855,2.0,Hydro,Hydro
River Lochy Hydro,56.4049,-4.9226,2.0,Hydro,Hydro
Risley,53.4376,-2.5024,2.0,Waste,Biomass
Rexton Cross,50.6755,-4.2466,2.0,Solar,Solar
BAE Samlesbury Aerodrome,53.7709,-2.5782,2.0,Solar,Solar
Fall of Warness Tidal Demonstrator (EMEC),59.1399,-2.8057,2.0,Wave and Tidal,Other
Reliance Street Mechanical Biological Treatment Facility (MBT),53.5041,-2.1807,2.0,Biomass,Biomass
Blyth T2,55.1254,-1.4952,2.0,Wind,Wind
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD),53.5369,-1.1374,2.0,Biomass,Biomass
Westcott Venture Park,51.8499,-0.9785,2.0,Biomass,Biomass
Green's Lodge Farm,52.724,-1.3125,2.0,Biomass,Biomass
Dewlay Cheese,53.8883,-2.786,2.0,Wind,Wind
Sandhill Anaerobic Digestion Plant (Waste AD),53.992,-0.4985,2.0,Biomass,Biomass
GreenPark,51.419,-0.9855,2.0,Wind,Wind
Sandhill Solar Park,51.0605,-3.1973,2.0,Solar,Solar
Ghuilbinn Hydro Scheme,56.8878,-4.5765,2.0,Hydro,Hydro
Station Farm Landfill Scheme,52.3085,-0.2266,2.0,Waste,Biomass
Stags Holt Extension,52.5698,0.1233,2.0,Wind,Wind
St Day II,50.2375,-5.1606,2.0,Waste,Biomass
Stoke Bardolph energy crop (Farm AD),52.9759,-1.0396,2.0,Biomass,Biomass
Deep Moor Gas to Energy,50.9722,-4.0994,2.0,Waste,Biomass
South View Farm,54.2703,-0.7586,2.0,Biomass,Biomass
South Manchester Resource Recovery Centre (AD),53.3944,-2.2461,2.0,Biomass,Biomass
Summerway Drove,51.1227,-2.9657,2.0,Solar,Solar
Deerplay Landfill Site,53.7509,-2.2199,2.0,Waste,Biomass
Skibeden,53.9705,-1.981,2.0,Waste,Biomass
Ford Motor Company Ltd (Extension),51.5287,0.1504,2.0,Wind,Wind
Danes Moss Landfill Site (Extension),53.2404,-2.1453,2.0,Waste,Biomass
Shooters,51.2544,-2.5834,2.0,Wind,Wind
Sharpness Docks,51.7237,-2.4829,2.0,Wind,Wind
Forss,58.5927,-3.5259,2.0,Wind,Wind
Garbhaig Hydro Scheme,57.6813,-5.5196,2.0,Hydro,Hydro
Bentwaters Park,52.13,1.4303,2.0,Biomass,Biomass
Sandy Lane Generation Plant,52.3838,-2.0719,2.0,Waste,Biomass
Avondale Quarry (Pilot),55.9903,-3.6789,2.0,Biomass,Biomass
Docksway Landfill Scheme,51.5623,-3.004,2.0,Waste,Biomass
Morrisons roof mounted solar,51.3717,0.7454,2.0,Solar,Solar
Dunkeswell Airfield,50.8645,-3.227,2.0,Solar,Solar
Burbo Bank Energy Storage,53.4123,-3.0551,2.0,Storage,Storage
Halstead Renewable Power Project (Waste AD),51.9421,0.6578,2.0,Biomass,Biomass
Greengairs Landfill Scheme Phase III,55.905,-3.945,2.0,Waste,Biomass
Newry Biomass Phase 1 (Gasification),54.2175,-6.3367,2.0,Biomass,Biomass
Uisge Dubh Hydro,57.3742,-5.3271,2.0,Hydro,Hydro
Nissan Motors Plant Extn,54.9139,-1.4808,2.0,Wind,Wind
Buslingthorpe Power Station (Leeds North),53.8143,-1.5426,2.0,Biomass,Biomass
Ardtalnaig Hydro Scheme (resubmission),56.5256,-4.1335,2.0,Hydro,Hydro
Grudie,57.6499,-5.4127,2.0,Hydro,Hydro
Broockhurst Wood,51.0892,-0.3522,2.0,Waste,Biomass
Morayhill AD,57.5182,-4.0889,2.0,Biomass,Biomass
Oak Grove Biomass Facility,52.7686,1.3564,2.0,Biomass,Biomass
Oatslie Landfill Gas,55.8556,-3.1645,2.0,Waste,Biomass
Costessey Landfill Gas Project 2,52.6514,1.194,2.0,Waste,Biomass
Maw Green Landfill Site  Cheshire (Extension),53.1139,-2.4228,2.0,Waste,Biomass
Milton Landfill Site,52.2406,0.1561,2.0,Waste,Biomass
Heathfield 'A' Landfill,50.6992,-3.5589,2.0,Waste,Biomass
Briton Ferry,51.6422,-3.831,2.0,Waste,Biomass
Auchencarroch Landfill Extension,55.9972,-4.5326,2.0,Waste,Biomass
PG4 St Bedes Power Generation,54.8908,-1.5868,2.0,Waste,Biomass
Bredbury Park Way - AD Stockport (Waste AD),53.4274,-2.1143,2.0,Biomass,Biomass
PG4 St Bedes Power Generation (Extension),54.8908,-1.5884,2.0,Waste,Biomass
Morfa Farm,51.4216,-3.4977,2.0,Solar,Solar
Enfield Farm,50.7077,-3.4406,2.0,Biomass,Biomass
West Hill  Flotta,58.827,-3.1231,2.0,Wind,Wind
Lune Power,54.0556,-2.834,2.0,Waste,Biomass
Cardiff Organic Waste Treatment Project (resubmission),51.4772,-3.1365,2.0,Biomass,Biomass
Greengairs Landfill Scheme Phase IV,55.905,-3.945,2.0,Waste,Biomass
Merevale & Blyth Estate (Waste AD),52.5711,-1.5867,2.0,Biomass,Biomass
Langley Priory Solar Farm,52.4485,1.6747,2.02,Solar,Solar
Rodbaston,52.7024,-2.1172,2.05,Wind,Wind
Kilmelfort,56.2727,-5.4897,2.08,Hydro,Hydro
Markley Group (Premiere Kitckens) Biomass,51.8101,-2.282,2.1,Biomass,Biomass
Weddington Farm,52.2176,-1.4083,2.1,Solar,Solar
Staveley Power,53.2739,-1.3612,2.1,Waste,Biomass
Skelbrooke Landfill Gas Project,53.5994,-1.2308,2.1,Waste,Biomass
Land Off Ingarsby Lane,52.6337,-0.9985,2.1,Solar,Solar
Kirkless Power,53.5474,-2.5901,2.1,Waste,Biomass
Cassington AD (Waste AD),51.7996,-1.3303,2.1,Biomass,Biomass
Culligran Compensation Set,57.346,-4.7627,2.1,Hydro,Hydro
Ruabon,52.9977,-3.0444,2.1,Waste,Biomass
Tyrone Energy 1,54.8521,-7.4065,2.1,Biomass,Biomass
Risley Sets 13 & 14,53.4354,-2.5057,2.1,Waste,Biomass
Auchencarroch Landfill,55.9968,-4.5334,2.1,Waste,Biomass
BH Energy - Biogas (AD),54.6193,-5.7889,2.1,Biomass,Biomass
Aveley Landfill Scheme,51.5039,0.2348,2.1,Waste,Biomass
Langlands Solar Farm,50.8973,-3.3609,2.1,Solar,Solar
Allt Fionn - resubmission,56.3492,-4.7007,2.1,Hydro,Hydro
Gore Cross - AD,50.6756,-1.2524,2.2,Biomass,Biomass
Greengairs Landfill Scheme Phase VI,55.905,-3.945,2.2,Waste,Biomass
Greengairs Landfill Scheme Phase V,55.905,-3.945,2.2,Waste,Biomass
Heathfield 'C' Landfill Scheme,50.5744,-3.6099,2.2,Waste,Biomass
Dunbar,55.9725,-2.4566,2.2,Waste,Biomass
Beckton Sewage Treatment Works,51.5256,0.0799,2.2,Wind,Wind
Loch Ericht,56.824,-4.372,2.2,Hydro,Hydro
Stud Farm  Rufford (Farm AD),53.1583,-1.0285,2.2,Biomass,Biomass
Swancote Farm AD (Farm AD),52.5428,-2.3818,2.2,Biomass,Biomass
Tarbothill Landfill Site,57.2122,-2.0745,2.2,Waste,Biomass
The Rosti Factory,55.7247,-3.9606,2.2,Wind,Wind
Bennett Bank Landfill Site (lfg),54.1603,-3.2037,2.2,Waste,Biomass
Salford Road Solar Farm (resubmission),53.2189,-1.915,2.2,Solar,Solar
Barkip Anaerobic Digestor (Waste AD),55.7181,-4.7186,2.2,Biomass,Biomass
Black Dog,57.2205,-2.0604,2.2,Waste,Biomass
Bletchley Phase II,51.9791,-0.7653,2.2,Waste,Biomass
Northwick Estate (Extension),52.0196,-1.8032,2.2,Solar,Solar
Land At Court Farm,51.4979,-3.5174,2.2,Solar,Solar
Broadley Copse,50.8736,-0.8489,2.2,Biomass,Biomass
Bonnyrigg,55.8865,-3.1255,2.2,Waste,Biomass
Briton / Neath,51.6431,-3.8325,2.2,Waste,Biomass
Braevallich,56.2112,-5.2805,2.2,Hydro,Hydro
Land at Box Road,51.7184,-2.3606,2.2,Solar,Solar
Cotesbach Landfill Gas Project,52.4227,-1.2114,2.3,Waste,Biomass
Sibelco Brassington,53.0909,-1.6284,2.3,Wind,Wind
Ness point Wind Turbine 1,52.4804,1.761,2.3,Wind,Wind
Courtstone Wind Turbine,57.392,-2.261,2.3,Wind,Wind
G24 Innovations Turbine,51.5067,-3.1042,2.3,Wind,Wind
Gairnieston Farm,57.5936,-2.424,2.3,Wind,Wind
Pen y Bont,52.9671,-3.0556,2.3,Waste,Biomass
Sandy Lane Landfill Scheme,51.5038,0.2434,2.3,Waste,Biomass
Bewick Drift,55.2152,-1.5572,2.3,Wind,Wind
Mawdesley Moss,53.6335,-2.7803,2.3,Wind,Wind
Bidston Moss Landfill Scheme,53.4101,-3.0756,2.3,Waste,Biomass
Bogenlea Farm,57.5663,-2.2999,2.3,Wind,Wind
Bygrave Lodge Farm Anaerobic Digestion Facility (Farm AD),52.0025,-0.1428,2.3,Biomass,Biomass
Crowmarsh Battle Farm (Farm AD),51.611,-1.1033,2.3,Biomass,Biomass
Mornflake Oats Wind Turbine,57.6599,-2.6462,2.3,Wind,Wind
Dagenham,51.5187,0.1508,2.3,Wind,Wind
Rye Meads Sewerage Treatment Works,51.7749,0.0171,2.3,Biomass,Biomass
Burgar Hill (land Near)  Evie,59.1176,-3.1492,2.3,Wind,Wind
Dimmer Landfill Gas Scheme,51.0761,-2.5538,2.3,Waste,Biomass
Hunstrete (Wilmington Farm),51.3516,-2.5039,2.3,Solar,Solar
Arlesey Landfill Gas (Extension),52.003,-0.2703,2.3,Waste,Biomass
Land near Ventonteague (Resubmission),50.3208,-5.0556,2.3,Wind,Wind
Wind Turbine 1,54.6879,-6.0196,2.3,Wind,Wind
Auchinlea Landfill Site,55.8096,-3.9004,2.3,Waste,Biomass
Withnell LFS,53.7113,-2.5486,2.3,Waste,Biomass
Land Adjacent Claypits Farm (b) (Birch Estate),51.845,0.8046,2.3,Solar,Solar
Tow Law,54.7638,-1.8228,2.3,Wind,Wind
Thorfinn Wind Farm - NM2000,59.109,-3.1404,2.3,Wind,Wind
Denhill,57.4112,-2.341,2.3,Wind,Wind
Kibblesworth Landfill Site,54.9026,-1.6039,2.3,Waste,Biomass
ANP Newport Wind Turbine,51.5559,-2.9738,2.3,Wind,Wind
Withyhedge Generation Plant,51.8577,-4.9522,2.4,Waste,Biomass
West Knock Wind Cluster,57.4938,-2.0268,2.4,Wind,Wind
Paulsgrove Landfill Site,50.8365,-1.0925,2.4,Waste,Biomass
Dunlop Landfill Gas Scheme,55.7319,-4.4763,2.4,Waste,Biomass
Plascow wind cluster (resubmission),54.9563,-3.7602,2.4,Wind,Wind
Poole Generation Plant,50.9875,-3.2095,2.4,Waste,Biomass
Bourne Farm,50.7756,-2.3952,2.4,Solar,Solar
Brockholes Wind Cluster,55.8666,-2.2879,2.4,Wind,Wind
Barling Hall Farm,51.5801,0.7928,2.4,Waste,Biomass
Rosehill Wind Turbines,56.055,-3.8281,2.4,Wind,Wind
Waverley Wood II,52.3395,-1.4716,2.4,Waste,Biomass
Wallingford (Waste AD),51.614,-1.1122,2.4,Biomass,Biomass
St John's Well,57.4266,-2.3252,2.4,Wind,Wind
Upper Ardgrain Wind Farm,57.4064,-2.0598,2.4,Wind,Wind
Trumps Farm (AD),51.382,-0.5722,2.4,Biomass,Biomass
Auchinderran Wind Farm,57.5814,-2.6468,2.4,Wind,Wind
Energen biogas cumbernauld,55.9697,-3.958,2.4,Biomass,Biomass
Gawnsmoss Cluster,57.6223,-2.613,2.4,Wind,Wind
Garrogie,57.1859,-4.4818,2.4,Hydro,Hydro
Cumbernauld BioPlant  (Waste AD),55.9704,-3.9575,2.4,Biomass,Biomass
Farnham Landfill,51.1956,-0.8279,2.4,Waste,Biomass
Storr Lochs,57.3,-6.25,2.4,Hydro,Hydro
Sidegate Lane,52.3231,-0.656,2.4,Waste,Biomass
West Hill Farm,51.1504,-4.1312,2.4,Solar,Solar
Broughall Fields Farm,52.9625,-2.6624,2.4,Biomass,Biomass
Kaimes Landfill Site,55.8837,-3.3956,2.4,Waste,Biomass
May Farm Anaerobic Digester (Farm AD),52.4546,0.3521,2.4,Biomass,Biomass
Mullardoch Tunnel,57.3387,-4.9449,2.4,Hydro,Hydro
High Hedley I,54.7637,-1.7575,2.4,Wind,Wind
Knottingley B,53.7028,-1.2423,2.4,Solar,Solar
Cairnhill Farm solar park,57.5603,-2.3723,2.4,Solar,Solar
LADEHEAD FARM - WIND TURBINES,55.6495,-3.9221,2.4,Wind,Wind
Mains of Hatton,57.6153,-2.0667,2.4,Wind,Wind
Langley Hall Farm,51.6633,-1.0978,2.4,Solar,Solar
Lussa,56.0328,-5.787,2.4,Hydro,Hydro
Lodge Farm (Broughton),52.3703,-0.1314,2.4,Solar,Solar
Castle of Auchry Farm,57.2828,-2.4477,2.4,Wind,Wind
Coleshill STW (Waste AD),52.519,-1.7116,2.4,Biomass,Biomass
Harewood Whin Landfill Site,53.9576,-1.1724,2.4,Waste,Biomass
Crimp,50.9119,-4.4881,2.43,Wind,Wind
Balcas Timber Biomass CHP Plant,54.3073,-7.6639,2.5,Biomass,Biomass
A C Shropshire (Farm AD),52.586,-1.2375,2.5,Biomass,Biomass
Corkey Wind Farm Extension (Resubmission),55.0445,-6.2797,2.5,Wind,Wind
Inverlael,57.8235,-5.0553,2.5,Hydro,Hydro
Cuaich,56.9562,-4.211,2.5,Hydro,Hydro
West Mill,51.8836,0.2417,2.5,Waste,Biomass
Land West of Roberts Wall Far,51.6712,-4.7464,2.5,Solar,Solar
Screwfix Direct,52.9752,-2.171,2.5,Solar,Solar
Maesgwyn Wind Farm - extension,51.7406,-3.6442,2.5,Wind,Wind
B&Q Swindon DC,51.5996,-1.7429,2.5,Solar,Solar
Severn Trent STW,52.698,-1.1179,2.5,Wind,Wind
Damhead Farm,55.8539,-3.9335,2.5,Wind,Wind
Newthorpe Wind Turbine,52.9988,-1.2979,2.5,Wind,Wind
Hill of Easterton,57.3761,-2.3933,2.5,Wind,Wind
London Southend Airport (resubmission),51.5755,0.6938,2.5,Solar,Solar
Lathom (Pilkington Technical Centre),53.5688,-2.8247,2.5,Solar,Solar
GlaxoSmithKline Wind Project (Turbine 4),55.5929,-4.6182,2.5,Wind,Wind
Carver Hay  moss lane,53.7066,-2.7814,2.5,Solar,Solar
Trenoweth Solar Farm,50.3973,-4.7489,2.5,Solar,Solar
Langstone Court Road Solar Farm,51.6009,-2.9121,2.5,Solar,Solar
Next Distribution Centre Doncaster,53.538,-1.0335,2.5,Solar,Solar
Crossness Sewage Works Turbine,51.5022,0.1421,2.5,Wind,Wind
Nash Waste Water Treatment Works Turbine,51.5511,-2.9591,2.5,Wind,Wind
Hawkers Farm,51.2256,-2.7641,2.5,Solar,Solar
Craig Wind Farm (Extension),54.8685,-5.0871,2.5,Wind,Wind
Crockagarron Ext,54.5516,-7.009,2.5,Wind,Wind
Harlock Hill Wind Farm,54.2049,-3.1467,2.5,Wind,Wind
Rise Carr  Darlington / CLNR EES3-1,54.5463,-1.5592,2.5,Storage,Storage
Bradgate Quarry Landfill Gas Scheme,52.6727,-1.2428,2.5,Waste,Biomass
Moel Maelogen A,53.1363,-3.725,2.6,Wind,Wind
Hollies,53.143,0.2411,2.6,Wind,Wind
Colsterworth Landfill Gas Project,52.8087,-0.6589,2.6,Waste,Biomass
Stone Hill,50.9201,0.2268,2.6,Solar,Solar
Harbour Road,55.5471,-4.6814,2.6,Biomass,Biomass
Ben Aketil Extension,57.4298,-6.4583,2.6,Wind,Wind
Pitts Farm (revised application),51.2138,-2.5858,2.6,Solar,Solar
Somersal Mill Farm,52.916,-1.7946,2.6,Solar,Solar
Sundon Landfill Site,51.9435,-0.4913,2.6,Waste,Biomass
Harn Hill Quarry Landfill Site,51.5894,-2.5932,2.6,Waste,Biomass
Darracott Moor,50.9299,-4.513,2.6,Wind,Wind
Land to the East of Burton Lane,52.8033,-1.1116,2.6,Solar,Solar
Cairnmore Farm,57.3153,-2.8137,2.6,Wind,Wind
Ipswich Hospital Energy Centre,52.0568,1.1979,2.6,Biomass,Biomass
Land at Darran Farm,51.6882,-3.1804,2.6,Solar,Solar
High Sharpley,54.8403,-1.3375,2.6,Wind,Wind
Eccleshall Biomass,52.8746,-2.2467,2.6,Biomass,Biomass
Westmill Qaurry,51.8222,-0.0574,2.6,Waste,Biomass
Cranham Golf Course Solar Park,51.5587,0.2827,2.6,Solar,Solar
Rufford Lane,53.1881,-1.0072,2.6,Solar,Solar
Advanced Manufacturing Research Centre,53.3876,-1.3779,2.6,Wind,Wind
Woodlands Wind Farm,55.6333,-3.9105,2.6,Wind,Wind
Hafoty Ucha '2' and '3' Wind Turbine,52.9962,-3.5883,2.6,Wind,Wind
Mendennick Solar,50.355,-4.2407,2.64,Solar,Solar
Snettisham Solar Farm,52.868,0.9202,2.7,Solar,Solar
Loch Sminig Wind Project,58.3836,-6.493,2.7,Wind,Wind
Brynpica Landfill Site,51.6579,-3.4832,2.7,Waste,Biomass
Hare Hill (B),54.7616,-1.4151,2.7,Wind,Wind
Thornton Lane,52.6843,-1.3142,2.7,Solar,Solar
Norlands Lane Landfill Site,51.4153,-0.5275,2.7,Waste,Biomass
Bu Farm,59.0973,-2.6601,2.7,Wind,Wind
Lower Pennington Farm,50.74,-1.5529,2.7,Solar,Solar
Coton Park Solar Farm,52.7585,-1.5977,2.7,Solar,Solar
Black Bush Farm,52.5497,-0.1479,2.7,Solar,Solar
Bootham Lane Landfill,53.5897,-1.0089,2.7,Waste,Biomass
Judkins Landfill Scheme,52.5319,-1.4825,2.7,Waste,Biomass
Silent Valley Landfill Scheme,51.7557,-3.1821,2.7,Waste,Biomass
Rothiesholm,59.0973,-2.6601,2.7,Wind,Wind
Narborough Landfill,52.5728,-1.2268,2.7,Waste,Biomass
Bellhouse Pit Landfill Scheme,51.8753,0.8198,2.7,Waste,Biomass
Woodtown,50.7762,-1.8718,2.72,Solar,Solar
Holmside,54.8471,-1.6776,2.75,Wind,Wind
Hare Hill RO,54.7616,-1.4151,2.75,Wind,Wind
Norton Hall,52.1011,-1.787,2.8,Solar,Solar
Wick Lane Solar Ltd,51.2698,-2.9624,2.8,Solar,Solar
Babergh Home Solar Scheme,52.0486,0.9444,2.8,Solar,Solar
Dorket Head,53.0215,-1.1144,2.8,Waste,Biomass
Highfields Farm (Braintree),51.8248,0.7195,2.8,Solar,Solar
Efford Landfill (Newmilton),50.7577,-1.6682,2.8,Waste,Biomass
Lount solar farm,52.7561,-1.4405,2.8,Solar,Solar
Land at Morfa Camp,52.59,-4.0967,2.8,Solar,Solar
Sharland Farm,50.8418,-3.7608,2.8,Solar,Solar
Preston Road AD Plant (Waste AD),54.6058,-1.5803,2.8,Biomass,Biomass
Summerston Landfill,55.9174,-4.2737,2.8,Waste,Biomass
Hill End Farm,51.3118,-1.1114,2.8,Solar,Solar
Elan Valley Hydro Scheme,52.2946,-3.6144,2.9,Hydro,Hydro
Trumps Farm Landfill Scheme,51.3853,-0.573,2.9,Waste,Biomass
Sandys Moor,51.0385,-3.3063,2.9,Solar,Solar
Scouthead Power Plant,53.5551,-2.0392,2.9,Waste,Biomass
Eckland Lodge Farm,52.4584,-0.843,2.9,Solar,Solar
Candles/Coalmoor Landfill,52.666,-2.4997,2.9,Waste,Biomass
Llandulas Landfill Scheme,53.2922,-3.6367,2.9,Waste,Biomass
Gallymoor Landfill,53.8459,-0.7262,2.9,Waste,Biomass
Holiday Moss Landfill Gas Scheme,53.5122,-2.7705,2.9,Waste,Biomass
Fell View Farm (Phase 2),53.7915,-2.6236,2.9,Solar,Solar
Chynoweth Farm,50.3045,-5.0815,2.9,Solar,Solar
Great Knowles,50.8042,-4.3769,2.92,Solar,Solar
King's Yard,51.5359,-0.0056,3.0,Biomass,Biomass
Rigby Landfill,53.6098,-2.6178,3.0,Waste,Biomass
Godley Water Treatment Works,53.4551,-2.0585,3.0,Solar,Solar
North of Newton Farm,50.7449,-2.0951,3.0,Solar,Solar
Ratty's Lane Sustainable Enery Facility (Waste AD),51.7671,0.0003,3.0,Biomass,Biomass
Granville Ecopark,54.491,-6.8121,3.0,Biomass,Biomass
River E,57.2135,-4.4506,3.0,Hydro,Hydro
Godmanchester,52.3227,-0.1571,3.0,Waste,Biomass
Yardwall Manor,51.2217,-2.9116,3.0,Solar,Solar
Redhill 2,51.2354,-0.1464,3.0,Waste,Biomass
Lednock,56.3745,-3.9975,3.0,Hydro,Hydro
Houghton-le-Spring Landfill Site,54.8438,-1.4515,3.0,Waste,Biomass
Forest Farm,50.9429,-1.2027,3.0,Solar,Solar
Stormy Down (Waste AD),51.5072,-3.6713,3.0,Biomass,Biomass
Sutton Grange AD Plant,53.3631,-0.9601,3.0,Biomass,Biomass
Pebsham,50.8533,0.5204,3.0,Waste,Biomass
Seaforth,53.4652,-3.0393,3.0,Wind,Wind
Ling Hall 1,52.3514,-1.3422,3.0,Waste,Biomass
Tengore Lane - resubmission,51.0428,-2.792,3.0,Solar,Solar
Garlaff Landfill (Extension),55.4297,-4.3041,3.0,Waste,Biomass
Land at Ingles Hill Farm,52.7565,-1.4899,3.0,Solar,Solar
Tiree,56.4992,-6.8692,3.0,Oil,Oil
Esholt WWTW,53.846,-1.7114,3.0,Waste,Biomass
Higher Trevartha Farm,50.4517,-4.4281,3.0,Solar,Solar
Energy Works Hull - Wind Turbine,53.7585,-0.3304,3.0,Wind,Wind
Energy Works Hull - AD (Waste AD),53.7585,-0.3304,3.0,Biomass,Biomass
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD) - extension,53.5369,-1.1374,3.0,Biomass,Biomass
Gremista Wind Farm,60.1924,-1.1671,3.0,Wind,Wind
Tully Quarry,54.8371,-6.1986,3.0,Biomass,Biomass
United Mines Landfill Scheme,50.239,-5.1778,3.0,Waste,Biomass
Trackwork Limited (EfW),53.5779,-1.0685,3.0,Waste,Biomass
Sutton Landfill Site,53.1259,-1.2819,3.0,Waste,Biomass
Lady Hole Farm,53.0089,-1.6909,3.0,Solar,Solar
Butchersfield Landfill Site,53.3977,-2.4842,3.0,Waste,Biomass
BMW UK Manufacturing Ltd,51.7328,-1.1947,3.0,Solar,Solar
Blackawton Solar Farm,50.3641,-3.6421,3.0,Solar,Solar
Achanalt,57.6108,-4.916,3.0,Hydro,Hydro
Beacon Hill,50.7546,-2.0297,3.0,Waste,Biomass
Deephams Sewerage Treatment Works,51.6265,-0.0415,3.0,Biomass,Biomass
Caddington Solar Farm (Phase 1),51.86,-0.4633,3.0,Solar,Solar
Coursers Farm AD Plant (Waste AD),51.7267,-0.2575,3.0,Biomass,Biomass
Cia Aig,56.9537,-5.0076,3.0,Hydro,Hydro
Carrington Farm AD,53.0709,-0.0531,3.0,Biomass,Biomass
Bronwylfa Reservoir,53.0318,-3.0594,3.0,Solar,Solar
