Processor,Transistor count,Year,Designer,Process,Area (mm2),Transistor,Designer Country,Bits,Name,Details
"SPARC64 XII (12-core 64-bit, SIMD, caches)","5,450,000,000[120]",2017,Fujitsu,20 nm,795 mm2,6850000,Japan,64-bit,SPARC64 XII,"12-core 64-bit,SIMD, caches"
"Apple A10X Fusion(hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","4,300,000,000[121]",2017,Apple,10 nm,96.40 mm2,44600000,United States,32-bit,Apple A10X Fusion,"hexa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Centriq 2400 (64/32-bit, SIMD, caches)","18,000,000,000[122]",2017,Qualcomm,10 nm,398 mm2,45200000,United States,32-bit,Centriq2400,"64/32-bit,SIMD, caches"
"AMD Epyc (32-core 64-bit, SIMD, caches)","19,200,000,000",2017,AMD,14 nm,768 mm2,25000000,United States,64-bit,AMDEpyc,"32-core 64-bit,SIMD, caches"
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","5,300,000,000[123]",2017,Qualcomm,10 nm,94 mm2,56400000,United States,32-bit,Qualcomm Snapdragon 845,"octa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Qualcomm Snapdragon 850 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","5,300,000,000[124]",2017,Qualcomm,10 nm,94 mm2,56400000,United States,32-bit,Qualcomm Snapdragon 850,"octa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)","6,900,000,000",2018,Apple,7 nm,83.27 mm2,82900000,United States,other,Apple A12 Bionic,"hexa-core ARM64 ""mobile SoC"",SIMD, caches"
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)","6,900,000,000[128]",2018,Huawei,7 nm,74.13 mm2,93100000,China,other,HiSilicon Kirin 980,"octa-core ARM64 ""mobile SoC"",SIMD, caches"
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)","8,500,000,000[129]",2018,Qualcomm,7 nm,112 mm2,75900000,United States,other,Qualcomm Snapdragon 8cx / SCX8180,"octa-core ARM64 ""mobile SoC"",SIMD, caches"
"Apple A12X Bionic(octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","10,000,000,000[130]",2018,Apple,7 nm,122 mm2,82000000,United States,32-bit,Apple A12X Bionic,"octa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
Tegra Xavier SoC (64/32-bit),"9,000,000,000[133]",2018,Nvidia,12 nm,350 mm2,25700000,United States,32-bit,TegraXavier SoC,64/32-bit
"Qualcomm Snapdragon 855 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","6,700,000,000[134]",2018,Qualcomm,7 nm,73 mm²,91800000,United States,32-bit,Qualcomm Snapdragon 855,"octa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
AMD Zen 2 core (0.5 MB L2 + 4 MB L3 cache),"475,000,000[135]",2019,AMD,7 nm,7.83 mm²,60664000,United States,other,AMDZen 2core,0.5 MB L2 + 4 MB L3 cache
"AMD Zen 2 CCX (core complex: 4 cores, 16 MB L3 cache)","1,900,000,000[135]",2019,AMD,7 nm,31.32 mm²,60664000,United States,other,AMDZen 2CCX,"core complex: 4 cores, 16 MB L3 cache"
"AMD Zen 2 CCD (core complex die: 8 cores, 32 MB L3 cache)","3,800,000,000[135]",2019,AMD,7 nm,74 mm²,51350000,United States,other,AMDZen 2CCD,"core complex die: 8 cores, 32 MB L3 cache"
AMD Zen 2 client I/O die,"2,090,000,000[135]",2019,AMD,12 nm,125 mm²,16720000,United States,other,,
AMD Zen 2 server I/O die,"8,340,000,000[135]",2019,AMD,12 nm,416 mm²,20050000,United States,other,,
AMD Zen 2 Renoir die,"9,800,000,000[135]",2019,AMD,7 nm,156 mm²,62820000,United States,other,,
"AMD Ryzen 7 3700X (64-bit, SIMD, caches, I/O die)","5,990,000,000[136][e]",2019,AMD,7 & 12 nm,199&nbsp,30100000,United States,64-bit,AMDRyzen7 3700X,"64-bit,SIMD, caches, I/O die"
HiSilicon Kirin 990 4G,"8,000,000,000[137]",2019,Huawei,7 nm,90.00 mm2,89000000,China,other,,
"Apple A13 (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)","8,500,000,000",2019,Apple,7 nm,98.48 mm2,86300000,United States,64-bit,Apple A13,"hexa-core 64-bit ARM64 ""mobile SoC"",SIMD, caches"
"IBM z15 CP chip (12 cores, 256 MB L3 cache)","9,200,000,000[140]",2019,IBM,14 nm,696 mm2,13220000,United States,other,IBM z15 CP chip,"12 cores, 256 MB L3 cache"
IBM z15 SC chip (960 MB L4 cache),"12,200,000,000",2019,IBM,14 nm,696 mm2,17530000,United States,other,IBM z15 SC chip,960 MB L4 cache
"AMD Ryzen 9 3900X (64-bit, SIMD, caches, I/O die)","9,890,000,000",2019,AMD,7 & 12 nm,273 mm2,36230000,United States,64-bit,AMDRyzen9 3900X,"64-bit,SIMD, caches, I/O die"
HiSilicon Kirin 990 5G,"10,300,000,000[143]",2019,Huawei,7 nm,113.31 mm2,90900000,China,other,,
"AMD Epyc Rome (64-bit, SIMD, caches)","39,540,000,000",2019,AMD,7 & 12 nm,"1,008 mm2",39226000,United States,64-bit,AMDEpycRome,"64-bit,SIMD, caches"
"Qualcomm Snapdragon 865 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","10,300,000,000[146]",2019,Qualcomm,7 nm,83.54 mm2[147],123300000,United States,32-bit,Qualcomm Snapdragon 865,"octa-core 64/32-bit ARM64 ""mobile SoC"",SIMD, caches"
"Apple A14 Bionic (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)","11,800,000,000[149]",2020,Apple,5 nm,88 mm2,134100000,United States,64-bit,Apple A14 Bionic,"hexa-core 64-bit ARM64 ""mobile SoC"",SIMD, caches"
"Apple M1 (octa-core 64-bit ARM64 SoC, SIMD, caches)","16,000,000,000[150]",2020,Apple,5 nm,119 mm2,134500000,United States,64-bit,Apple M1,"octa-core 64-bit ARM64 SoC,SIMD, caches"
HiSilicon Kirin 9000,"15,300,000,000",2020,Huawei,5 nm,114 mm2,134200000,China,other,,
"AMD Zen 3 CCX (core complex unit: 8 cores, 32 MB L3 cache)","4,080,000,000[153]",2020,AMD,7 nm,68 mm²,60000000,United States,other,AMDZen 3CCX,"core complex unit: 8 cores, 32 MB L3 cache"
AMD Zen 3 CCD (core complex die),"4,150,000,000[153]",2020,AMD,7 nm,81 mm²,51230000,United States,other,AMDZen 3CCD,core complex die
"AMD Ryzen 7 5800H(64-bit, SIMD, caches, I/O and GPU)","10,700,000,000[157]",2021,AMD,7 nm,180 mm2,59440000,United States,64-bit,AMD Ryzen 7 5800H,"64-bit,SIMD, caches, I/O and GPU"
Apple A15,"15,000,000,000",2021,Apple,5 nm,107.68 mm2,139300000,United States,other,,
"Apple M1 Pro (10-core, 64-bit)","33,700,000,000[161]",2021,Apple,5 nm,245 mm2[162],137600000,United States,64-bit,Apple M1 Pro,"10-core, 64-bit"
"Apple M1 Max (10-core, 64-bit)","57,000,000,000",2021,Apple,5 nm,420.2 mm2[164],135600000,United States,64-bit,Apple M1 Max,"10-core, 64-bit"
Power10 dual-chip module (30 SMT8 cores or 60 SMT4 cores),"36,000,000,000[165]",2021,IBM,7 nm,"1,204 mm2",29900000,United States,other,Power10dual-chip module,30 SMT8 cores or 60 SMT4 cores
"Apple M1 Ultra (dual-chip module, 2×10 cores)","114,000,000,000",2022,Apple,5 nm,840.5 mm2[164],135600000,United States,other,Apple M1 Ultra,"dual-chip module, 210 cores"
"IBM Telum dual-chip module (2×8 cores, 2×256 MB cache)","45,000,000,000",2022,IBM,7 nm (Samsung),"1,060 mm2",42450000,United States,other,IBM Telumdual-chip module,"28 cores, 2256 MB cache"
AMD EPYC Genoa (4th gen/9004 series) 13-chip module (up to 96 cores and 384 MB (L3) + 96 MB (L2) cache)[180],"90,000,000,000",2022,AMD,5 nm (CCD),"1,263.34 mm²",71240000,United States,other,AMDEPYC Genoa,4th gen/9004 series
Sapphire Rapids quad-chip module (up to 60 cores and 112.5 MB of cache)[186],"44,000,000,000–",2023,Intel,10 nm ESF(Intel 7),"1,600 mm2",27500000,United States,other,Sapphire Rapidsquad-chip module,up to 60 cores and 112.5 MB of cache
