date,country,indicator,value
2002-07-01,US,NFC debt securities outstanding (USD bn),2916.62
2002-10-01,US,NFC debt securities outstanding (USD bn),2910.16
2003-01-01,US,NFC debt securities outstanding (USD bn),2917.33
2003-04-01,US,NFC debt securities outstanding (USD bn),2945.16
2003-07-01,US,NFC debt securities outstanding (USD bn),2978.72
2003-10-01,US,NFC debt securities outstanding (USD bn),2963.54
2004-01-01,US,NFC debt securities outstanding (USD bn),3013.25
2004-04-01,US,NFC debt securities outstanding (USD bn),3008.91
2004-07-01,US,NFC debt securities outstanding (USD bn),3012.77
2004-10-01,US,NFC debt securities outstanding (USD bn),2999.67
2005-01-01,US,NFC debt securities outstanding (USD bn),3011.24
2005-04-01,US,NFC debt securities outstanding (USD bn),3004.13
2005-07-01,US,NFC debt securities outstanding (USD bn),3017.95
2005-10-01,US,NFC debt securities outstanding (USD bn),2999.3
2006-01-01,US,NFC debt securities outstanding (USD bn),3025.97
2006-04-01,US,NFC debt securities outstanding (USD bn),3083.42
2006-07-01,US,NFC debt securities outstanding (USD bn),3102.99
2006-10-01,US,NFC debt securities outstanding (USD bn),3152.52
2007-01-01,US,NFC debt securities outstanding (USD bn),3205.56
2007-04-01,US,NFC debt securities outstanding (USD bn),3311.83
2007-07-01,US,NFC debt securities outstanding (USD bn),3323.26
2007-10-01,US,NFC debt securities outstanding (USD bn),3358.34
2008-01-01,US,NFC debt securities outstanding (USD bn),3404.97
2008-04-01,US,NFC debt securities outstanding (USD bn),3505.22
2008-07-01,US,NFC debt securities outstanding (USD bn),3541.92
2008-10-01,US,NFC debt securities outstanding (USD bn),3556.65
2009-01-01,US,NFC debt securities outstanding (USD bn),3630.49
2009-04-01,US,NFC debt securities outstanding (USD bn),3687.53
2009-07-01,US,NFC debt securities outstanding (USD bn),3705.27
2009-10-01,US,NFC debt securities outstanding (USD bn),3730.99
2010-01-01,US,NFC debt securities outstanding (USD bn),3802.89
2010-04-01,US,NFC debt securities outstanding (USD bn),3847.77
2010-07-01,US,NFC debt securities outstanding (USD bn),3934.47
2010-10-01,US,NFC debt securities outstanding (USD bn),3977.06
2011-01-01,US,NFC debt securities outstanding (USD bn),4032.09
2011-04-01,US,NFC debt securities outstanding (USD bn),4088.54
2011-07-01,US,NFC debt securities outstanding (USD bn),4147.53
2011-10-01,US,NFC debt securities outstanding (USD bn),4179.19
2012-01-01,US,NFC debt securities outstanding (USD bn),4268.49
2012-04-01,US,NFC debt securities outstanding (USD bn),4345.69
2012-07-01,US,NFC debt securities outstanding (USD bn),4453.84
2012-10-01,US,NFC debt securities outstanding (USD bn),4562.24
2013-01-01,US,NFC debt securities outstanding (USD bn),4620.23
2013-04-01,US,NFC debt securities outstanding (USD bn),4687.51
2013-07-01,US,NFC debt securities outstanding (USD bn),4818.33
2013-10-01,US,NFC debt securities outstanding (USD bn),4834.63
2014-01-01,US,NFC debt securities outstanding (USD bn),4934.08
2014-04-01,US,NFC debt securities outstanding (USD bn),5013.11
2014-07-01,US,NFC debt securities outstanding (USD bn),5081.48
2014-10-01,US,NFC debt securities outstanding (USD bn),5156.11
2015-01-01,US,NFC debt securities outstanding (USD bn),5277.72
2015-04-01,US,NFC debt securities outstanding (USD bn),5436.25
2015-07-01,US,NFC debt securities outstanding (USD bn),5546.38
2015-10-01,US,NFC debt securities outstanding (USD bn),5569.27
2016-01-01,US,NFC debt securities outstanding (USD bn),5707.95
2016-04-01,US,NFC debt securities outstanding (USD bn),5796.41
2016-07-01,US,NFC debt securities outstanding (USD bn),5870.17
2016-10-01,US,NFC debt securities outstanding (USD bn),5860.9
2017-01-01,US,NFC debt securities outstanding (USD bn),5987.75
2017-04-01,US,NFC debt securities outstanding (USD bn),6070.91
2017-07-01,US,NFC debt securities outstanding (USD bn),6145.1
2017-10-01,US,NFC debt securities outstanding (USD bn),6190.66
2018-01-01,US,NFC debt securities outstanding (USD bn),6293.87
2018-04-01,US,NFC debt securities outstanding (USD bn),6298.52
2018-07-01,US,NFC debt securities outstanding (USD bn),6338.98
2018-10-01,US,NFC debt securities outstanding (USD bn),6343.87
2019-01-01,US,NFC debt securities outstanding (USD bn),6482.12
2019-04-01,US,NFC debt securities outstanding (USD bn),6557.93
2019-07-01,US,NFC debt securities outstanding (USD bn),6633.74
2019-10-01,US,NFC debt securities outstanding (USD bn),6621.75
2020-01-01,US,NFC debt securities outstanding (USD bn),6861.78
2020-04-01,US,NFC debt securities outstanding (USD bn),7238.77
2020-07-01,US,NFC debt securities outstanding (USD bn),7258.96
2020-10-01,US,NFC debt securities outstanding (USD bn),7276.43
2021-01-01,US,NFC debt securities outstanding (USD bn),7411.37
2021-04-01,US,NFC debt securities outstanding (USD bn),7441.07
2021-07-01,US,NFC debt securities outstanding (USD bn),7511.84
2021-10-01,US,NFC debt securities outstanding (USD bn),7490.87
2022-01-01,US,NFC debt securities outstanding (USD bn),7586.29
2022-04-01,US,NFC debt securities outstanding (USD bn),7540.66
2022-07-01,US,NFC debt securities outstanding (USD bn),7548.49
2022-10-01,US,NFC debt securities outstanding (USD bn),7545.44
1990-01-01,UK,Total credit to NFCs (% of GDP),56.5
1990-04-01,UK,Total credit to NFCs (% of GDP),57.1
1990-07-01,UK,Total credit to NFCs (% of GDP),56.5
1990-10-01,UK,Total credit to NFCs (% of GDP),56.9
1991-01-01,UK,Total credit to NFCs (% of GDP),57.5
1991-04-01,UK,Total credit to NFCs (% of GDP),58.6
1991-07-01,UK,Total credit to NFCs (% of GDP),57.3
1991-10-01,UK,Total credit to NFCs (% of GDP),55.9
1992-01-01,UK,Total credit to NFCs (% of GDP),55.5
1992-04-01,UK,Total credit to NFCs (% of GDP),54.4
1992-07-01,UK,Total credit to NFCs (% of GDP),53.2
1992-10-01,UK,Total credit to NFCs (% of GDP),56.6
1993-01-01,UK,Total credit to NFCs (% of GDP),54.6
1993-04-01,UK,Total credit to NFCs (% of GDP),54.0
1993-07-01,UK,Total credit to NFCs (% of GDP),54.3
1993-10-01,UK,Total credit to NFCs (% of GDP),55.8
1994-01-01,UK,Total credit to NFCs (% of GDP),53.8
1994-04-01,UK,Total credit to NFCs (% of GDP),51.4
1994-07-01,UK,Total credit to NFCs (% of GDP),51.2
1994-10-01,UK,Total credit to NFCs (% of GDP),52.4
1995-01-01,UK,Total credit to NFCs (% of GDP),51.6
1995-04-01,UK,Total credit to NFCs (% of GDP),52.1
1995-07-01,UK,Total credit to NFCs (% of GDP),51.5
1995-10-01,UK,Total credit to NFCs (% of GDP),53.7
1996-01-01,UK,Total credit to NFCs (% of GDP),51.5
1996-04-01,UK,Total credit to NFCs (% of GDP),52.1
1996-07-01,UK,Total credit to NFCs (% of GDP),52.0
1996-10-01,UK,Total credit to NFCs (% of GDP),51.7
1997-01-01,UK,Total credit to NFCs (% of GDP),51.5
1997-04-01,UK,Total credit to NFCs (% of GDP),52.8
1997-07-01,UK,Total credit to NFCs (% of GDP),54.6
1997-10-01,UK,Total credit to NFCs (% of GDP),54.1
1998-01-01,UK,Total credit to NFCs (% of GDP),54.9
1998-04-01,UK,Total credit to NFCs (% of GDP),56.2
1998-07-01,UK,Total credit to NFCs (% of GDP),59.1
1998-10-01,UK,Total credit to NFCs (% of GDP),60.0
1999-01-01,UK,Total credit to NFCs (% of GDP),62.3
1999-04-01,UK,Total credit to NFCs (% of GDP),64.4
1999-07-01,UK,Total credit to NFCs (% of GDP),64.4
1999-10-01,UK,Total credit to NFCs (% of GDP),65.4
2000-01-01,UK,Total credit to NFCs (% of GDP),66.7
2000-04-01,UK,Total credit to NFCs (% of GDP),68.9
2000-07-01,UK,Total credit to NFCs (% of GDP),70.2
2000-10-01,UK,Total credit to NFCs (% of GDP),70.5
2001-01-01,UK,Total credit to NFCs (% of GDP),73.4
2001-04-01,UK,Total credit to NFCs (% of GDP),73.4
2001-07-01,UK,Total credit to NFCs (% of GDP),73.5
2001-10-01,UK,Total credit to NFCs (% of GDP),74.9
2002-01-01,UK,Total credit to NFCs (% of GDP),75.8
2002-04-01,UK,Total credit to NFCs (% of GDP),76.9
2002-07-01,UK,Total credit to NFCs (% of GDP),80.3
2002-10-01,UK,Total credit to NFCs (% of GDP),79.2
2003-01-01,UK,Total credit to NFCs (% of GDP),76.3
2003-04-01,UK,Total credit to NFCs (% of GDP),77.3
2003-07-01,UK,Total credit to NFCs (% of GDP),76.4
2003-10-01,UK,Total credit to NFCs (% of GDP),74.5
2004-01-01,UK,Total credit to NFCs (% of GDP),72.9
2004-04-01,UK,Total credit to NFCs (% of GDP),71.9
2004-07-01,UK,Total credit to NFCs (% of GDP),72.7
2004-10-01,UK,Total credit to NFCs (% of GDP),72.5
2005-01-01,UK,Total credit to NFCs (% of GDP),73.0
2005-04-01,UK,Total credit to NFCs (% of GDP),75.7
2005-07-01,UK,Total credit to NFCs (% of GDP),77.1
2005-10-01,UK,Total credit to NFCs (% of GDP),78.0
2006-01-01,UK,Total credit to NFCs (% of GDP),78.6
2006-04-01,UK,Total credit to NFCs (% of GDP),79.7
2006-07-01,UK,Total credit to NFCs (% of GDP),81.3
2006-10-01,UK,Total credit to NFCs (% of GDP),80.3
2007-01-01,UK,Total credit to NFCs (% of GDP),78.1
2007-04-01,UK,Total credit to NFCs (% of GDP),77.6
2007-07-01,UK,Total credit to NFCs (% of GDP),79.7
2007-10-01,UK,Total credit to NFCs (% of GDP),80.9
2008-01-01,UK,Total credit to NFCs (% of GDP),83.7
2008-04-01,UK,Total credit to NFCs (% of GDP),82.8
2008-07-01,UK,Total credit to NFCs (% of GDP),83.3
2008-10-01,UK,Total credit to NFCs (% of GDP),89.5
2009-01-01,UK,Total credit to NFCs (% of GDP),88.7
2009-04-01,UK,Total credit to NFCs (% of GDP),84.5
2009-07-01,UK,Total credit to NFCs (% of GDP),87.4
2009-10-01,UK,Total credit to NFCs (% of GDP),86.6
2010-01-01,UK,Total credit to NFCs (% of GDP),87.6
2010-04-01,UK,Total credit to NFCs (% of GDP),84.9
2010-07-01,UK,Total credit to NFCs (% of GDP),85.0
2010-10-01,UK,Total credit to NFCs (% of GDP),81.7
2011-01-01,UK,Total credit to NFCs (% of GDP),81.5
2011-04-01,UK,Total credit to NFCs (% of GDP),81.4
2011-07-01,UK,Total credit to NFCs (% of GDP),80.9
2011-10-01,UK,Total credit to NFCs (% of GDP),79.8
2012-01-01,UK,Total credit to NFCs (% of GDP),82.5
2012-04-01,UK,Total credit to NFCs (% of GDP),83.4
2012-07-01,UK,Total credit to NFCs (% of GDP),83.7
2012-10-01,UK,Total credit to NFCs (% of GDP),81.9
2013-01-01,UK,Total credit to NFCs (% of GDP),79.7
2013-04-01,UK,Total credit to NFCs (% of GDP),81.5
2013-07-01,UK,Total credit to NFCs (% of GDP),79.3
2013-10-01,UK,Total credit to NFCs (% of GDP),77.4
2014-01-01,UK,Total credit to NFCs (% of GDP),75.3
2014-04-01,UK,Total credit to NFCs (% of GDP),73.5
2014-07-01,UK,Total credit to NFCs (% of GDP),72.5
2014-10-01,UK,Total credit to NFCs (% of GDP),71.2
2015-01-01,UK,Total credit to NFCs (% of GDP),72.0
2015-04-01,UK,Total credit to NFCs (% of GDP),68.7
2015-07-01,UK,Total credit to NFCs (% of GDP),68.9
2015-10-01,UK,Total credit to NFCs (% of GDP),69.2
2016-01-01,UK,Total credit to NFCs (% of GDP),69.8
2016-04-01,UK,Total credit to NFCs (% of GDP),72.9
2016-07-01,UK,Total credit to NFCs (% of GDP),75.0
2016-10-01,UK,Total credit to NFCs (% of GDP),74.7
2017-01-01,UK,Total credit to NFCs (% of GDP),75.1
2017-04-01,UK,Total credit to NFCs (% of GDP),74.3
2017-07-01,UK,Total credit to NFCs (% of GDP),74.9
2017-10-01,UK,Total credit to NFCs (% of GDP),76.0
2018-01-01,UK,Total credit to NFCs (% of GDP),74.1
2018-04-01,UK,Total credit to NFCs (% of GDP),73.4
2018-07-01,UK,Total credit to NFCs (% of GDP),71.7
2018-10-01,UK,Total credit to NFCs (% of GDP),71.0
2019-01-01,UK,Total credit to NFCs (% of GDP),70.1
2019-04-01,UK,Total credit to NFCs (% of GDP),71.0
2019-07-01,UK,Total credit to NFCs (% of GDP),72.4
2019-10-01,UK,Total credit to NFCs (% of GDP),70.7
2020-01-01,UK,Total credit to NFCs (% of GDP),74.2
2020-04-01,UK,Total credit to NFCs (% of GDP),80.0
2020-07-01,UK,Total credit to NFCs (% of GDP),81.4
2020-10-01,UK,Total credit to NFCs (% of GDP),82.9
2021-01-01,UK,Total credit to NFCs (% of GDP),82.8
2021-04-01,UK,Total credit to NFCs (% of GDP),80.6
2021-07-01,UK,Total credit to NFCs (% of GDP),79.4
2021-10-01,UK,Total credit to NFCs (% of GDP),78.0
2022-01-01,UK,Total credit to NFCs (% of GDP),74.3
2022-04-01,UK,Total credit to NFCs (% of GDP),72.1
2022-07-01,UK,Total credit to NFCs (% of GDP),71.0
2022-10-01,UK,Total credit to NFCs (% of GDP),69.2
2023-01-01,UK,Total credit to NFCs (% of GDP),66.8
2023-04-01,UK,Total credit to NFCs (% of GDP),64.1
2023-07-01,UK,Total credit to NFCs (% of GDP),63.4
2023-10-01,UK,Total credit to NFCs (% of GDP),63.0
2024-01-01,UK,Total credit to NFCs (% of GDP),61.6
2024-04-01,UK,Total credit to NFCs (% of GDP),60.8
2024-07-01,UK,Total credit to NFCs (% of GDP),59.5
2024-10-01,UK,Total credit to NFCs (% of GDP),59.9
2025-01-01,UK,Total credit to NFCs (% of GDP),58.9
2025-04-01,UK,Total credit to NFCs (% of GDP),58.5
1990-01-01,US,Total credit to NFCs (% of GDP),65.3
1990-04-01,US,Total credit to NFCs (% of GDP),65.0
1990-07-01,US,Total credit to NFCs (% of GDP),64.4
1990-10-01,US,Total credit to NFCs (% of GDP),63.9
1991-01-01,US,Total credit to NFCs (% of GDP),63.3
1991-04-01,US,Total credit to NFCs (% of GDP),62.9
1991-07-01,US,Total credit to NFCs (% of GDP),61.8
1991-10-01,US,Total credit to NFCs (% of GDP),60.5
1992-01-01,US,Total credit to NFCs (% of GDP),59.9
1992-04-01,US,Total credit to NFCs (% of GDP),59.1
1992-07-01,US,Total credit to NFCs (% of GDP),58.1
1992-10-01,US,Total credit to NFCs (% of GDP),57.0
1993-01-01,US,Total credit to NFCs (% of GDP),56.7
1993-04-01,US,Total credit to NFCs (% of GDP),56.6
1993-07-01,US,Total credit to NFCs (% of GDP),56.3
1993-10-01,US,Total credit to NFCs (% of GDP),56.1
1994-01-01,US,Total credit to NFCs (% of GDP),56.4
1994-04-01,US,Total credit to NFCs (% of GDP),56.3
1994-07-01,US,Total credit to NFCs (% of GDP),56.0
1994-10-01,US,Total credit to NFCs (% of GDP),55.8
1995-01-01,US,Total credit to NFCs (% of GDP),56.2
1995-04-01,US,Total credit to NFCs (% of GDP),56.6
1995-07-01,US,Total credit to NFCs (% of GDP),56.4
1995-10-01,US,Total credit to NFCs (% of GDP),56.6
1996-01-01,US,Total credit to NFCs (% of GDP),56.8
1996-04-01,US,Total credit to NFCs (% of GDP),57.0
1996-07-01,US,Total credit to NFCs (% of GDP),56.9
1996-10-01,US,Total credit to NFCs (% of GDP),56.5
1997-01-01,US,Total credit to NFCs (% of GDP),56.9
1997-04-01,US,Total credit to NFCs (% of GDP),57.3
1997-07-01,US,Total credit to NFCs (% of GDP),57.7
1997-10-01,US,Total credit to NFCs (% of GDP),58.1
1998-01-01,US,Total credit to NFCs (% of GDP),59.2
1998-04-01,US,Total credit to NFCs (% of GDP),60.6
1998-07-01,US,Total credit to NFCs (% of GDP),61.3
1998-10-01,US,Total credit to NFCs (% of GDP),62.0
1999-01-01,US,Total credit to NFCs (% of GDP),63.0
1999-04-01,US,Total credit to NFCs (% of GDP),63.3
1999-07-01,US,Total credit to NFCs (% of GDP),64.4
1999-10-01,US,Total credit to NFCs (% of GDP),64.6
2000-01-01,US,Total credit to NFCs (% of GDP),65.4
2000-04-01,US,Total credit to NFCs (% of GDP),66.1
2000-07-01,US,Total credit to NFCs (% of GDP),65.9
2000-10-01,US,Total credit to NFCs (% of GDP),66.0
2001-01-01,US,Total credit to NFCs (% of GDP),65.8
2001-04-01,US,Total credit to NFCs (% of GDP),66.6
2001-07-01,US,Total credit to NFCs (% of GDP),66.7
2001-10-01,US,Total credit to NFCs (% of GDP),66.8
2002-01-01,US,Total credit to NFCs (% of GDP),66.8
2002-04-01,US,Total credit to NFCs (% of GDP),66.7
2002-07-01,US,Total credit to NFCs (% of GDP),66.4
2002-10-01,US,Total credit to NFCs (% of GDP),66.3
2003-01-01,US,Total credit to NFCs (% of GDP),65.8
2003-04-01,US,Total credit to NFCs (% of GDP),65.5
2003-07-01,US,Total credit to NFCs (% of GDP),65.0
2003-10-01,US,Total credit to NFCs (% of GDP),64.2
2004-01-01,US,Total credit to NFCs (% of GDP),64.3
2004-04-01,US,Total credit to NFCs (% of GDP),64.0
2004-07-01,US,Total credit to NFCs (% of GDP),63.9
2004-10-01,US,Total credit to NFCs (% of GDP),64.2
2005-01-01,US,Total credit to NFCs (% of GDP),64.1
2005-04-01,US,Total credit to NFCs (% of GDP),64.5
2005-07-01,US,Total credit to NFCs (% of GDP),64.4
2005-10-01,US,Total credit to NFCs (% of GDP),64.9
2006-01-01,US,Total credit to NFCs (% of GDP),65.3
2006-04-01,US,Total credit to NFCs (% of GDP),66.1
2006-07-01,US,Total credit to NFCs (% of GDP),66.3
2006-10-01,US,Total credit to NFCs (% of GDP),67.3
2007-01-01,US,Total credit to NFCs (% of GDP),68.1
2007-04-01,US,Total credit to NFCs (% of GDP),69.7
2007-07-01,US,Total credit to NFCs (% of GDP),71.0
2007-10-01,US,Total credit to NFCs (% of GDP),72.2
2008-01-01,US,Total credit to NFCs (% of GDP),73.0
2008-04-01,US,Total credit to NFCs (% of GDP),73.9
2008-07-01,US,Total credit to NFCs (% of GDP),74.4
2008-10-01,US,Total credit to NFCs (% of GDP),74.8
2009-01-01,US,Total credit to NFCs (% of GDP),74.6
2009-04-01,US,Total credit to NFCs (% of GDP),74.7
2009-07-01,US,Total credit to NFCs (% of GDP),74.2
2009-10-01,US,Total credit to NFCs (% of GDP),72.8
2010-01-01,US,Total credit to NFCs (% of GDP),72.1
2010-04-01,US,Total credit to NFCs (% of GDP),70.9
2010-07-01,US,Total credit to NFCs (% of GDP),70.3
2010-10-01,US,Total credit to NFCs (% of GDP),69.1
2011-01-01,US,Total credit to NFCs (% of GDP),68.6
2011-04-01,US,Total credit to NFCs (% of GDP),68.4
2011-07-01,US,Total credit to NFCs (% of GDP),68.4
2011-10-01,US,Total credit to NFCs (% of GDP),68.5
2012-01-01,US,Total credit to NFCs (% of GDP),68.3
2012-04-01,US,Total credit to NFCs (% of GDP),68.3
2012-07-01,US,Total credit to NFCs (% of GDP),68.7
2012-10-01,US,Total credit to NFCs (% of GDP),69.3
2013-01-01,US,Total credit to NFCs (% of GDP),69.1
2013-04-01,US,Total credit to NFCs (% of GDP),69.6
2013-07-01,US,Total credit to NFCs (% of GDP),70.1
2013-10-01,US,Total credit to NFCs (% of GDP),70.1
2014-01-01,US,Total credit to NFCs (% of GDP),70.7
2014-04-01,US,Total credit to NFCs (% of GDP),71.0
2014-07-01,US,Total credit to NFCs (% of GDP),71.2
2014-10-01,US,Total credit to NFCs (% of GDP),71.9
2015-01-01,US,Total credit to NFCs (% of GDP),72.3
2015-04-01,US,Total credit to NFCs (% of GDP),73.2
2015-07-01,US,Total credit to NFCs (% of GDP),73.5
2015-10-01,US,Total credit to NFCs (% of GDP),73.8
2016-01-01,US,Total credit to NFCs (% of GDP),74.9
2016-04-01,US,Total credit to NFCs (% of GDP),75.3
2016-07-01,US,Total credit to NFCs (% of GDP),75.8
2016-10-01,US,Total credit to NFCs (% of GDP),75.4
2017-01-01,US,Total credit to NFCs (% of GDP),76.2
2017-04-01,US,Total credit to NFCs (% of GDP),76.8
2017-07-01,US,Total credit to NFCs (% of GDP),76.9
2017-10-01,US,Total credit to NFCs (% of GDP),77.5
2018-01-01,US,Total credit to NFCs (% of GDP),77.4
2018-04-01,US,Total credit to NFCs (% of GDP),78.5
2018-07-01,US,Total credit to NFCs (% of GDP),78.2
2018-10-01,US,Total credit to NFCs (% of GDP),78.4
2019-01-01,US,Total credit to NFCs (% of GDP),78.9
2019-04-01,US,Total credit to NFCs (% of GDP),79.0
2019-07-01,US,Total credit to NFCs (% of GDP),79.0
2019-10-01,US,Total credit to NFCs (% of GDP),78.5
2020-01-01,US,Total credit to NFCs (% of GDP),82.0
2020-04-01,US,Total credit to NFCs (% of GDP),86.5
2020-07-01,US,Total credit to NFCs (% of GDP),86.4
2020-10-01,US,Total credit to NFCs (% of GDP),86.6
2021-01-01,US,Total credit to NFCs (% of GDP),86.9
2021-04-01,US,Total credit to NFCs (% of GDP),84.8
2021-07-01,US,Total credit to NFCs (% of GDP),83.4
2021-10-01,US,Total credit to NFCs (% of GDP),82.7
2022-01-01,US,Total credit to NFCs (% of GDP),82.2
2022-04-01,US,Total credit to NFCs (% of GDP),81.4
2022-07-01,US,Total credit to NFCs (% of GDP),80.2
2022-10-01,US,Total credit to NFCs (% of GDP),79.2
2023-01-01,US,Total credit to NFCs (% of GDP),78.7
2023-04-01,US,Total credit to NFCs (% of GDP),77.6
2023-07-01,US,Total credit to NFCs (% of GDP),76.6
2023-10-01,US,Total credit to NFCs (% of GDP),75.6
2024-01-01,US,Total credit to NFCs (% of GDP),75.4
2024-04-01,US,Total credit to NFCs (% of GDP),74.9
2024-07-01,US,Total credit to NFCs (% of GDP),74.6
2024-10-01,US,Total credit to NFCs (% of GDP),73.6
2025-01-01,US,Total credit to NFCs (% of GDP),73.4
2025-04-01,US,Total credit to NFCs (% of GDP),73.0
