index,label
S2411_C02_018E,Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Service occupations:
S0802_C02_087E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes"
S1501_C06_009E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
S0601_C03_001E,Native; born in other state in the U.S.!!Total population
S0506_C02_019E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!75 to 84 years
S0501_C02_105E,Native!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 199 percent of the poverty level
S2411_C02_019E,Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Service occupations:!!Healthcare support occupations
S0501_C02_102E,Native!!INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Average number of workers per household
S0506_C02_016E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!45 to 54 years
S0601_C03_004E,Native; born in other state in the U.S.!!Total population!!AGE!!18 to 24 years
S0802_C02_089E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes"
S0501_C02_103E,Native!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined
S0506_C02_017E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!55 to 64 years
S0601_C03_003E,Native; born in other state in the U.S.!!Total population!!AGE!!5 to 17 years
S1501_C06_006E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over
S0802_C02_084E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes"
S0701PR_C05_039E,Moved; from outside Puerto Rico and the U.S.!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over
S0506_C02_014E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!18 to 24 years
S2501_C05_005E,Renter-occupied housing units!!Occupied housing units!!HOUSEHOLD SIZE!!4-or-more-person household
S0501_C02_108E,Native!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families!!With related children of the householder under 18 years
S2411_C02_014E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations"
S0802_C02_083E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes"
S1501_C06_005E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher
S2501_C05_004E,Renter-occupied housing units!!Occupied housing units!!HOUSEHOLD SIZE!!3-person household
S0506_C02_015E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!25 to 44 years
S0502_C03_090E,"Foreign born; Entered 2000 to 2009!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$10,000 to $14,999"
S0701PR_C05_038E,Moved; from outside Puerto Rico and the U.S.!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
S2411_C02_015E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:"
S0501_C02_109E,Native!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families!!With related children of the householder under 5 years only
S1501_C06_008E,"Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
S0802_C02_086E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes"
S2501_C05_003E,Renter-occupied housing units!!Occupied housing units!!HOUSEHOLD SIZE!!2-person household
S0701PR_C05_037E,Moved; from outside Puerto Rico and the U.S.!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
S0506_C02_012E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!Under 5 years
S2411_C02_016E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations"
S0501_C02_106E,Native!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 200 percent of the poverty level
S1501_C06_007E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
S0802_C02_085E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes"
S2501_C05_002E,Renter-occupied housing units!!Occupied housing units!!HOUSEHOLD SIZE!!1-person household
S0506_C02_013E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!5 to 17 years
S0701PR_C05_036E,Moved; from outside Puerto Rico and the U.S.!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree
S0501_C02_107E,Native!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families
S2411_C02_017E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians"
S2506_C02_058E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Less than 20 percent"
S2411_C02_010E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
S0503_C04_039E,Foreign born; Born in Southern and Eastern Europe!!MARITAL STATUS!!Population 15  years and over!!Divorced or separated
S2506_C02_059E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!20 to 29 percent"
S0601_C03_009E,Native; born in other state in the U.S.!!Total population!!AGE!!75 years and over
S2411_C02_011E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
S2411_C02_012E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
S2506_C02_056E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!30 percent or more"
S0503_C04_037E,Foreign born; Born in Southern and Eastern Europe!!MARITAL STATUS!!Population 15  years and over!!Never married
S2506_C02_057E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more"
S2411_C02_013E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
S0503_C04_038E,"Foreign born; Born in Southern and Eastern Europe!!MARITAL STATUS!!Population 15  years and over!!Now married, except separated"
S0501_C02_100E,Native!!INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits
S2201_C06_010E,Percent households not receiving food stamps/SNAP!!Households!!With children under 18 years!!Married-couple family
S2601A_C03_018E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!65 years and over!!Male
S0601_C03_006E,Native; born in other state in the U.S.!!Total population!!AGE!!45 to 54 years
S2506_C02_054E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!Less than 20 percent"
S0501_C02_101E,Native!!INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Median Household income (dollars)
S2201_C06_011E,Percent households not receiving food stamps/SNAP!!Households!!With children under 18 years!!Other family:
S0601_C03_005E,Native; born in other state in the U.S.!!Total population!!AGE!!25 to 44 years
S2601A_C03_017E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!65 years and over
S2506_C02_055E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!20 to 29 percent"
S2201_C06_012E,"Percent households not receiving food stamps/SNAP!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
S0601_C03_008E,Native; born in other state in the U.S.!!Total population!!AGE!!65 to 74 years
S2506_C02_052E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more"
S2201_C06_013E,"Percent households not receiving food stamps/SNAP!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
S0601_C03_007E,Native; born in other state in the U.S.!!Total population!!AGE!!55 to 64 years
S2601A_C03_019E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!65 years and over!!Female
S2506_C02_053E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999"
S0503_C04_031E,"Foreign born; Born in Southern and Eastern Europe!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
S2601A_C03_013E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!85 years and over
S2201_C06_014E,Percent households not receiving food stamps/SNAP!!Households!!With children under 18 years!!Nonfamily households
S2002_C02_071E,Male!!Median earnings (dollars)!!PERCENT ALLOCATED!!Educational attainment
S0101_C01_004E,Total!!Total population!!AGE!!10 to 14 years
S2506_C02_062E,Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!Less than $800
S0503_C04_032E,Foreign born; Born in Southern and Eastern Europe!!Foreign-born population!!HOUSEHOLD TYPE!!In married-couple family
S2002_C02_070E,Male!!Median earnings (dollars)!!PERCENT ALLOCATED!!Hispanic or Latino origin
S2601A_C03_012E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!75 to 84 years
S2201_C06_015E,Percent households not receiving food stamps/SNAP!!Households!!No children under 18 years
S0101_C01_005E,Total!!Total population!!AGE!!15 to 19 years
S2506_C02_063E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!$800 to $1,499"
S0101_C01_002E,Total!!Total population!!AGE!!Under 5 years
S0502_C03_099E,Foreign born; Entered 2000 to 2009!!INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings
S2201_C06_016E,Percent households not receiving food stamps/SNAP!!Households!!No children under 18 years!!Married-couple family
S2601A_C03_015E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!Under 18 years!!Male
S2506_C02_060E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more"
S2002_C02_074E,Male!!Median earnings (dollars)!!PERCENT ALLOCATED!!Class of worker
S2601A_C03_016E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!Under 18 years!!Female
S0503_C04_030E,Foreign born; Born in Southern and Eastern Europe!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)
S2201_C06_017E,Percent households not receiving food stamps/SNAP!!Households!!No children under 18 years!!Other family:
S2002_C02_072E,Male!!Median earnings (dollars)!!PERCENT ALLOCATED!!Occupation
S2601A_C03_014E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!Under 18 years
S0101_C01_003E,Total!!Total population!!AGE!!5 to 9 years
S2002_C02_073E,Male!!Median earnings (dollars)!!PERCENT ALLOCATED!!Industry
S2506_C02_061E,Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Zero or negative income
S2201_C06_018E,"Percent households not receiving food stamps/SNAP!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
S1301_C03_011E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race
S0503_C04_035E,Foreign born; Born in Southern and Eastern Europe!!Foreign-born population!!Average family size
S0101_C01_001E,Total!!Total population
S1301_C03_010E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander
S2201_C06_019E,"Percent households not receiving food stamps/SNAP!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
S0503_C04_036E,Foreign born; Born in Southern and Eastern Europe!!MARITAL STATUS!!Population 15  years and over
S0503_C04_033E,Foreign born; Born in Southern and Eastern Europe!!Foreign-born population!!HOUSEHOLD TYPE!!In other households
S2101_C04_040E,Percent Veterans!!DISABILITY STATUS!!Civilian population 18 years and over for whom poverty status is determined!!Without a disability
S2601A_C03_011E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!65 to 74 years
S1301_C03_013E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)
S0503_C04_034E,Foreign born; Born in Southern and Eastern Europe!!Foreign-born population!!Average  household size
S2601A_C03_010E,Institutionalized group quarters population!!Total population!!SEX AND AGE!!55 to 64 years
S1301_C03_012E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races
S1501_C06_014E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher
S2001_C06_005E,"Percent Female!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999"
S0701PR_C05_035E,Moved; from outside Puerto Rico and the U.S.!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
S0802_C02_080E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m."
S0502_C03_093E,"Foreign born; Entered 2000 to 2009!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$35,000 to $49,999"
S0506_C02_022E,Foreign born; Born in Latin America!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race
S2501_C05_009E,Renter-occupied housing units!!Occupied housing units!!HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER!!Family households
S1301_C03_015E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!NATIVITY!!Native
S2001_C06_004E,"Percent Female!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
S0502_C03_094E,"Foreign born; Entered 2000 to 2009!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$50,000 to $74,999"
S0701PR_C05_034E,Moved; from outside Puerto Rico and the U.S.!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate
S0506_C02_023E,Foreign born; Born in Latin America!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White
S2501_C05_008E,Renter-occupied housing units!!Occupied housing units!!OCCUPANTS PER ROOM!!1.51 or more occupants per room
S1501_C06_013E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
S1301_C03_014E,"Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
S2001_C06_007E,"Percent Female!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999"
S0802_C02_082E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes"
S1501_C06_016E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years
S0701PR_C05_033E,Moved; from outside Puerto Rico and the U.S.!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
S0502_C03_091E,"Foreign born; Entered 2000 to 2009!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$15,000 to $24,999"
S0506_C02_020E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!85 years and over
S2501_C05_007E,Renter-occupied housing units!!Occupied housing units!!OCCUPANTS PER ROOM!!1.01 to 1.50 occupants per room
S1301_C03_017E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!EDUCATIONAL ATTAINMENT!!Less than high school graduate
S1501_C06_015E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
S2001_C06_006E,"Percent Female!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999"
S0502_C03_092E,"Foreign born; Entered 2000 to 2009!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$25,000 to $34,999"
S0701PR_C05_032E,Moved; from outside Puerto Rico and the U.S.!!MARITAL STATUS!!Population 15 years and over!!Widowed
S0802_C02_081E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes"
S0506_C02_021E,Foreign born; Born in Latin America!!Foreign-born population!!SEX AND AGE!!Median age (years)
S2501_C05_006E,Renter-occupied housing units!!Occupied housing units!!OCCUPANTS PER ROOM!!1.00 or less occupants per room
S1301_C03_016E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!NATIVITY!!Foreign born
S2001_C06_001E,Percent Female!!Population 16 years and over with earnings
S1301_C03_019E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree
S0502_C03_097E,"Foreign born; Entered 2000 to 2009!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Female"
S0101_C01_008E,Total!!Total population!!AGE!!30 to 34 years
S0701PR_C05_031E,Moved; from outside Puerto Rico and the U.S.!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated
S1501_C06_010E,"Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
S0502_C03_098E,Foreign born; Entered 2000 to 2009!!INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households
S0101_C01_009E,Total!!Total population!!AGE!!35 to 39 years
S0701PR_C05_030E,"Moved; from outside Puerto Rico and the U.S.!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
S1301_C03_018E,Percent Distribution!!Women with births in the past 12 months!!Women 15 to 50 years!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)
S2001_C06_003E,"Percent Female!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
S0502_C03_095E,"Foreign born; Entered 2000 to 2009!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$75,000 or more"
S0101_C01_006E,Total!!Total population!!AGE!!20 to 24 years
S1501_C06_012E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
S2001_C06_002E,Percent Female!!Population 16 years and over with earnings!!Median earnings (dollars)
S0502_C03_096E,"Foreign born; Entered 2000 to 2009!!EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Male"
S0101_C01_007E,Total!!Total population!!AGE!!25 to 29 years
S1501_C06_011E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
S0802_C02_076E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m."
S0501_C02_116E,Native!!Occupied housing units
S2411_C02_006E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
S0802_C02_075E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m."
S0501_C02_117E,Native!!Occupied housing units!!HOUSING TENURE!!Owner-occupied housing units
S2411_C02_007E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
S0802_C02_078E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m."
S0501_C02_114E,"Native!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no spouse present, family!!With related children of the householder under 18 years"
S0506_C02_028E,Foreign born; Born in Latin America!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race
S2411_C02_008E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
S0802_C02_077E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m."
S0501_C02_115E,"Native!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no spouse present, family!!With related children of the householder under 5 years only"
S0506_C02_029E,Foreign born; Born in Latin America!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races
S2411_C02_009E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
S1501_C06_018E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher
S0802_C02_072E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m."
S0506_C02_026E,Foreign born; Born in Latin America!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian
S2001_C06_009E,"Percent Female!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999"
S2411_C02_002E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:"
S2001_C06_008E,"Percent Female!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999"
S0802_C02_071E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m."
S1501_C06_017E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher
S0506_C02_027E,Foreign born; Born in Latin America!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander
S2411_C02_003E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
S2506_C02_048E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more"
S0802_C02_074E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m."
S0506_C02_024E,Foreign born; Born in Latin America!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American
S0701PR_C05_049E,Moved; from outside Puerto Rico and the U.S.!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 1 year and over for whom poverty status is determined
S0501_C02_118E,Native!!Occupied housing units!!HOUSING TENURE!!Renter-occupied housing units
S2411_C02_004E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
S1501_C06_019E,Percent Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years
S2506_C02_049E,"Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999"
S0802_C02_073E,"Car, truck, or van -- drove alone!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m."
S0701PR_C05_048E,Moved; from outside Puerto Rico and the U.S.!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!Median income (dollars)
S0506_C02_025E,Foreign born; Born in Latin America!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native
S2411_C02_005E,"Median earnings (dollars) for male!!Civilian employed population 16 years and over with earnings!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
S0501_C02_119E,Native!!Occupied housing units!!HOUSING TENURE!!Average household size of owner-occupied unit
S0101_C01_020E,Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years
