,Country,Year,Gini,rank,Gini_2021
624,Philippines,2016,0.58,8.0,0.57
625,Philippines,2017,0.58,8.0,0.57
626,Philippines,2018,0.57,8.0,0.57
627,Philippines,2019,0.57,8.0,0.57
628,Philippines,2020,0.57,8.0,0.57
629,Philippines,2021,0.57,8.0,0.57
630,Russia,1980,0.31,11.0,0.58
631,Russia,1981,0.32,11.0,0.58
632,Russia,1982,0.32,11.0,0.58
633,Russia,1983,0.32,11.0,0.58
634,Russia,1984,0.32,11.0,0.58
635,Russia,1985,0.33,11.0,0.58
636,Russia,1986,0.33,11.0,0.58
637,Russia,1987,0.33,11.0,0.58
638,Russia,1988,0.33,11.0,0.58
639,Russia,1989,0.34,11.0,0.58
640,Russia,1990,0.33,11.0,0.58
641,Russia,1991,0.34,11.0,0.58
642,Russia,1992,0.44,11.0,0.58
643,Russia,1993,0.46,11.0,0.58
644,Russia,1994,0.54,11.0,0.58
645,Russia,1995,0.56,11.0,0.58
646,Russia,1996,0.63,11.0,0.58
647,Russia,1997,0.59,11.0,0.58
648,Russia,1998,0.56,11.0,0.58
649,Russia,1999,0.58,11.0,0.58
650,Russia,2000,0.6,11.0,0.58
651,Russia,2001,0.61,11.0,0.58
652,Russia,2002,0.59,11.0,0.58
653,Russia,2003,0.6,11.0,0.58
654,Russia,2004,0.59,11.0,0.58
655,Russia,2005,0.58,11.0,0.58
656,Russia,2006,0.6,11.0,0.58
657,Russia,2007,0.6,11.0,0.58
658,Russia,2008,0.61,11.0,0.58
659,Russia,2009,0.55,11.0,0.58
660,Russia,2010,0.55,11.0,0.58
661,Russia,2011,0.56,11.0,0.58
662,Russia,2012,0.55,11.0,0.58
663,Russia,2013,0.56,11.0,0.58
664,Russia,2014,0.54,11.0,0.58
665,Russia,2015,0.54,11.0,0.58
666,Russia,2016,0.54,11.0,0.58
667,Russia,2017,0.54,11.0,0.58
668,Russia,2018,0.55,11.0,0.58
669,Russia,2019,0.55,11.0,0.58
670,Russia,2020,0.58,11.0,0.58
671,Russia,2021,0.58,11.0,0.58
672,Thailand,1980,0.67,13.0,0.59
673,Thailand,1981,0.67,13.0,0.59
674,Thailand,1982,0.67,13.0,0.59
675,Thailand,1983,0.67,13.0,0.59
676,Thailand,1984,0.67,13.0,0.59
677,Thailand,1985,0.67,13.0,0.59
678,Thailand,1986,0.67,13.0,0.59
679,Thailand,1987,0.67,13.0,0.59
680,Thailand,1988,0.67,13.0,0.59
681,Thailand,1989,0.67,13.0,0.59
682,Thailand,1990,0.68,13.0,0.59
683,Thailand,1991,0.68,13.0,0.59
684,Thailand,1992,0.69,13.0,0.59
685,Thailand,1993,0.68,13.0,0.59
686,Thailand,1994,0.67,13.0,0.59
687,Thailand,1995,0.66,13.0,0.59
688,Thailand,1996,0.66,13.0,0.59
689,Thailand,1997,0.65,13.0,0.59
690,Thailand,1998,0.64,13.0,0.59
691,Thailand,1999,0.66,13.0,0.59
692,Thailand,2000,0.66,13.0,0.59
693,Thailand,2001,0.68,13.0,0.59
694,Thailand,2002,0.66,13.0,0.59
695,Thailand,2003,0.67,13.0,0.59
696,Thailand,2004,0.66,13.0,0.59
697,Thailand,2005,0.65,13.0,0.59
698,Thailand,2006,0.65,13.0,0.59
699,Thailand,2007,0.65,13.0,0.59
700,Thailand,2008,0.65,13.0,0.59
701,Thailand,2009,0.6,13.0,0.59
702,Thailand,2010,0.65,13.0,0.59
703,Thailand,2011,0.64,13.0,0.59
704,Thailand,2012,0.64,13.0,0.59
705,Thailand,2013,0.62,13.0,0.59
706,Thailand,2014,0.63,13.0,0.59
707,Thailand,2015,0.6,13.0,0.59
708,Thailand,2016,0.61,13.0,0.59
709,Thailand,2017,0.61,13.0,0.59
710,Thailand,2018,0.6,13.0,0.59
711,Thailand,2019,0.59,13.0,0.59
712,Thailand,2020,0.59,13.0,0.59
713,Thailand,2021,0.59,13.0,0.59
714,Turkey,1980,0.68,14.0,0.6
715,Turkey,1981,0.68,14.0,0.6
716,Turkey,1982,0.68,14.0,0.6
717,Turkey,1983,0.68,14.0,0.6
718,Turkey,1984,0.68,14.0,0.6
719,Turkey,1985,0.68,14.0,0.6
720,Turkey,1986,0.68,14.0,0.6
721,Turkey,1987,0.68,14.0,0.6
722,Turkey,1988,0.67,14.0,0.6
723,Turkey,1989,0.67,14.0,0.6
724,Turkey,1990,0.66,14.0,0.6
725,Turkey,1991,0.65,14.0,0.6
726,Turkey,1992,0.65,14.0,0.6
727,Turkey,1993,0.64,14.0,0.6
728,Turkey,1994,0.64,14.0,0.6
729,Turkey,1995,0.64,14.0,0.6
730,Turkey,1996,0.64,14.0,0.6
731,Turkey,1997,0.64,14.0,0.6
732,Turkey,1998,0.64,14.0,0.6
733,Turkey,1999,0.64,14.0,0.6
734,Turkey,2000,0.64,14.0,0.6
735,Turkey,2001,0.64,14.0,0.6
736,Turkey,2002,0.64,14.0,0.6
737,Turkey,2003,0.63,14.0,0.6
738,Turkey,2004,0.62,14.0,0.6
739,Turkey,2005,0.59,14.0,0.6
740,Turkey,2006,0.58,14.0,0.6
741,Turkey,2007,0.58,14.0,0.6
742,Turkey,2008,0.59,14.0,0.6
743,Turkey,2009,0.61,14.0,0.6
744,Turkey,2010,0.59,14.0,0.6
745,Turkey,2011,0.59,14.0,0.6
746,Turkey,2012,0.6,14.0,0.6
747,Turkey,2013,0.59,14.0,0.6
748,Turkey,2014,0.59,14.0,0.6
749,Turkey,2015,0.6,14.0,0.6
750,Turkey,2016,0.61,14.0,0.6
751,Turkey,2017,0.61,14.0,0.6
752,Turkey,2018,0.61,14.0,0.6
753,Turkey,2019,0.6,14.0,0.6
754,Turkey,2020,0.61,14.0,0.6
755,Turkey,2021,0.6,14.0,0.6
756,United States,1980,0.45,11.0,0.58
757,United States,1981,0.46,11.0,0.58
758,United States,1982,0.47,11.0,0.58
759,United States,1983,0.48,11.0,0.58
760,United States,1984,0.49,11.0,0.58
761,United States,1985,0.49,11.0,0.58
762,United States,1986,0.49,11.0,0.58
763,United States,1987,0.5,11.0,0.58
764,United States,1988,0.51,11.0,0.58
765,United States,1989,0.51,11.0,0.58
766,United States,1990,0.51,11.0,0.58
767,United States,1991,0.51,11.0,0.58
768,United States,1992,0.52,11.0,0.58
769,United States,1993,0.52,11.0,0.58
770,United States,1994,0.52,11.0,0.58
771,United States,1995,0.53,11.0,0.58
772,United States,1996,0.54,11.0,0.58
773,United States,1997,0.54,11.0,0.58
774,United States,1998,0.54,11.0,0.58
775,United States,1999,0.55,11.0,0.58
776,United States,2000,0.55,11.0,0.58
777,United States,2001,0.54,11.0,0.58
778,United States,2002,0.54,11.0,0.58
779,United States,2003,0.54,11.0,0.58
780,United States,2004,0.55,11.0,0.58
781,United States,2005,0.56,11.0,0.58
782,United States,2006,0.57,11.0,0.58
783,United States,2007,0.56,11.0,0.58
784,United States,2008,0.56,11.0,0.58
785,United States,2009,0.58,11.0,0.58
786,United States,2010,0.57,11.0,0.58
787,United States,2011,0.57,11.0,0.58
788,United States,2012,0.58,11.0,0.58
789,United States,2013,0.58,11.0,0.58
790,United States,2014,0.58,11.0,0.58
791,United States,2015,0.58,11.0,0.58
792,United States,2016,0.58,11.0,0.58
793,United States,2017,0.58,11.0,0.58
794,United States,2018,0.58,11.0,0.58
795,United States,2019,0.58,11.0,0.58
796,United States,2020,0.57,11.0,0.58
797,United States,2021,0.58,11.0,0.58
798,Vietnam,1980,0.58,7.0,0.56
799,Vietnam,1981,0.58,7.0,0.56
800,Vietnam,1982,0.58,7.0,0.56
801,Vietnam,1983,0.58,7.0,0.56
802,Vietnam,1984,0.58,7.0,0.56
803,Vietnam,1985,0.58,7.0,0.56
804,Vietnam,1986,0.58,7.0,0.56
805,Vietnam,1987,0.58,7.0,0.56
806,Vietnam,1988,0.58,7.0,0.56
807,Vietnam,1989,0.58,7.0,0.56
808,Vietnam,1990,0.58,7.0,0.56
809,Vietnam,1991,0.58,7.0,0.56
810,Vietnam,1992,0.58,7.0,0.56
811,Vietnam,1993,0.58,7.0,0.56
812,Vietnam,1994,0.58,7.0,0.56
813,Vietnam,1995,0.58,7.0,0.56
814,Vietnam,1996,0.58,7.0,0.56
815,Vietnam,1997,0.58,7.0,0.56
816,Vietnam,1998,0.58,7.0,0.56
817,Vietnam,1999,0.58,7.0,0.56
818,Vietnam,2000,0.59,7.0,0.56
819,Vietnam,2001,0.6,7.0,0.56
820,Vietnam,2002,0.6,7.0,0.56
821,Vietnam,2003,0.59,7.0,0.56
822,Vietnam,2004,0.59,7.0,0.56
823,Vietnam,2005,0.58,7.0,0.56
824,Vietnam,2006,0.57,7.0,0.56
825,Vietnam,2007,0.57,7.0,0.56
826,Vietnam,2008,0.57,7.0,0.56
827,Vietnam,2009,0.56,7.0,0.56
828,Vietnam,2010,0.6,7.0,0.56
829,Vietnam,2011,0.59,7.0,0.56
830,Vietnam,2012,0.57,7.0,0.56
831,Vietnam,2013,0.56,7.0,0.56
832,Vietnam,2014,0.56,7.0,0.56
833,Vietnam,2015,0.56,7.0,0.56
834,Vietnam,2016,0.56,7.0,0.56
835,Vietnam,2017,0.56,7.0,0.56
836,Vietnam,2018,0.56,7.0,0.56
837,Vietnam,2019,0.56,7.0,0.56
838,Vietnam,2020,0.56,7.0,0.56
839,Vietnam,2021,0.56,7.0,0.56
